topK: 376 alpha: 0.31149747904824837 beta: 0.28155416772769626 normalize_similarity: True
KFOLD -> 0.4729107290180532
topK,alpha,beta,result
377.0,0.3097046151056692,0.2800980736394091,0.4248207895194602
377.0,0.30976309658545154,0.280328585071906,0.42473314367883624
377.0,0.3087253532072306,0.28371762120793537,0.42478548229187313
376.0,0.31092193402003027,0.28376513480942694,0.4244781315044574
376.0,0.3089047558175963,0.2816238092860278,0.4248608342601468
376.0,0.30931454410607473,0.2846625628447737,0.4246087303456391
377.0,0.3086685794685482,0.28192842382992084,0.424733656147267
375.0,0.3104213862779523,0.28112094350985595,0.42480405338458327
375.0,0.31048936668916494,0.28093717951963787,0.4247959547552959
375.0,0.3105403802434881,0.28131688767147833,0.42494464626013917
375.0,0.3102491706353295,0.2814579862483157,0.4249347602171464
376.0,0.3117728895577766,0.2800298760009726,0.4246845130932253
376.0,0.3126729554863321,0.2824254927368562,0.4249037551023042
376.0,0.31197908855710166,0.28305795291825114,0.42474699263041155
375.0,0.31267064140683115,0.2819223153254278,0.4249411203339679
375.0,0.31279568242622513,0.2820277736099139,0.4249301934102128
375.0,0.3128356337986616,0.2817586873003188,0.4248539348567728
375.0,0.313064395472209,0.28489029090831847,0.4244864810638751
375.0,0.31276168597097015,0.2817344629375061,0.42488880236025955
375.0,0.3135778994947353,0.2824197405944091,0.4249825519810473
375.0,0.31381764598434647,0.2834687576418778,0.4244498380907736
375.0,0.311276352767292,0.28253858801994935,0.42499051521763753
375.0,0.31140878366543867,0.2825904037565149,0.42491146507752686
375.0,0.31098317135756504,0.28425702679906667,0.42455094407914074
385.0,0.3118016122065825,0.28299468248271953,0.42485320550896694
375.0,0.31380105906121114,0.28258603204333516,0.42490200273625167
375.0,0.31149437397372187,0.28408618169167116,0.4246444221360275
376.0,0.3112328187655462,0.28103292008773045,0.4247898613305112
384.0,0.3122407607441535,0.28265020378067557,0.4246220928992915
375.0,0.31046804252892174,0.28221964374584235,0.4249468083883446
375.0,0.3102103017079446,0.28313672667571566,0.42472193980661255
375.0,0.3106773883775808,0.28495630833858004,0.42450775306523425
375.0,0.31005700706519373,0.2838400908449573,0.4248213499169552
383.0,0.3112605437806175,0.28201334349979984,0.4242324884332576
376.0,0.31225380514142037,0.2804532758510951,0.4245924704101053
375.0,0.31530115980391915,0.2813740558021063,0.4247451626967868
375.0,0.31079338499514253,0.28325767875791935,0.42466846096337396
376.0,0.3095203352786513,0.2822576591292876,0.4247404169416144
376.0,0.31149881927891604,0.28271240711854273,0.4249577849624819
375.0,0.3112848873469796,0.2808455116006755,0.42473148106002445
375.0,0.3101346404127802,0.2844006715739083,0.42451380992624
376.0,0.31149747904824837,0.28155416772769626,0.42507142210237203
376.0,0.31187140231598526,0.2816243264042975,0.42499844763145417
376.0,0.31059495352389693,0.28063131479064135,0.42472198650186155
376.0,0.31176882929537886,0.28154020145872644,0.42501134860774425
376.0,0.31195525382208383,0.28340634191883946,0.42477865870616277
376.0,0.31329324568432576,0.27916140626521874,0.42430120349695427
