{'topK': 66, 'alpha': 0.30077950803045783, 'beta': 0.22779750090858622}
best = 0.1460532864046517
topK,alpha,beta,result
84.0,0.3498551790836053,0.20405014925955542,0.14508253468726115
77.0,0.3500279242882306,0.20075661378614634,0.14505059593825437
76.0,0.34882939923599743,0.2172747170000716,0.14565820632092902
70.0,0.34809637608771715,0.2189509512830958,0.14534738745357184
68.0,0.3481506694089608,0.234686425071512,0.14514135148765256
60.0,0.35169344492555343,0.23592992369715954,0.1450043159971484
68.0,0.3271223925517049,0.22099942004662984,0.14503294739715072
75.0,0.34428459392953015,0.22875674081609498,0.14522203615488863
76.0,0.346426158656313,0.23043032290197557,0.14510091300183686
74.0,0.33407849197420453,0.22681955194714684,0.14518098712588903
73.0,0.2967891892947828,0.22974105687535049,0.1450999779057862
62.0,0.3218672477354455,0.25588439705782706,0.14482651003843422
76.0,0.3370366872484279,0.24832109172934957,0.1436653325769362
69.0,0.36949809995583505,0.22962873121644709,0.14476642118202104
71.0,0.3151832525652496,0.2407279552176554,0.1451178912914277
71.0,0.306089991536661,0.24203846863585113,0.14516366968432545
54.0,0.2825576987840656,0.2591926001487137,0.1443044594893644
53.0,0.3061454394249003,0.24838113144638485,0.1443566651261839
72.0,0.31128120129203213,0.23836719373613355,0.14511655405214383
62.0,0.3292982559148801,0.2430420633993411,0.14525571055215314
62.0,0.33048420025269987,0.21822451029953005,0.1440548615453469
66.0,0.36611155207913915,0.2265798484576954,0.14516741150584905
55.0,0.33690101007572976,0.21728788811279637,0.1430861017639433
63.0,0.36555424898374966,0.22566511403481984,0.14507481340851175
49.0,0.290163037182292,0.24479001310822993,0.14341838852267064
80.0,0.30238006035614595,0.25387166085323554,0.14381205338812297
59.0,0.32489233795439204,0.22310543232387095,0.14342890000088707
65.0,0.37461463900879755,0.21430802818837047,0.1443698183719721
69.0,0.3545765190514603,0.23182628905163227,0.14536095794993828
71.0,0.3386767340397789,0.2447999544170123,0.1448466153201103
75.0,0.36010680411128154,0.22918462961088595,0.1454072455588303
75.0,0.3615571492318737,0.22837800906248143,0.1453678938675664
75.0,0.3839106607186423,0.23204287816500752,0.14510008716831382
78.0,0.3548145809369583,0.21632859226815543,0.14538649261429032
79.0,0.3740386165522723,0.2102073122472325,0.14497572806599587
81.0,0.35838613784381845,0.21741212265580132,0.14513246035346755
78.0,0.35833195808639384,0.22328688163421098,0.14524051948743086
78.0,0.36164995054548893,0.22176878376395207,0.1454761290388271
82.0,0.3563398276286974,0.22088027749189995,0.14553299927281046
82.0,0.38604306851118164,0.2083771677884512,0.1449625443080635
83.0,0.3583708626890938,0.21556948151725824,0.14531649577027783
83.0,0.3729487854812956,0.21550803407504593,0.14529226818898297
87.0,0.35593362307611154,0.20848676479060113,0.1449683204135705
78.0,0.3902907847916426,0.22124090383976655,0.14492501115702164
91.0,0.3655515499760805,0.23448613893339404,0.14416063777980384
96.0,0.34471169332141355,0.21446675241323412,0.14467952051632368
68.0,0.3988020730019965,0.19960959512605755,0.14382372945910799
83.0,0.37771228404988283,0.20569403079880544,0.1452180487965943
84.0,0.35605567811958816,0.2159892001043984,0.1452390111441713
81.0,0.3722171196238589,0.2224295443511252,0.14556413960098094
73.0,0.36564363071824785,0.22518565317354464,0.14494390412420183
77.0,0.341729197931416,0.2312764012809347,0.1454297048663128
77.0,0.3208239821152953,0.23404952975358068,0.1449622330360109
70.0,0.3441143212320482,0.22151538993778394,0.14485048709555085
80.0,0.3790812584205019,0.23151573316479437,0.145011912933403
73.0,0.3511783702365763,0.23583057478031755,0.14519372041414344
141.0,0.3387876854848603,0.23738822388493375,0.14071826266865606
75.0,0.3954047721472743,0.227869992897454,0.14518923875297346
81.0,0.3549099385598634,0.21220937848489552,0.14525299963172758
78.0,0.3632590659813483,0.22005265372412258,0.1455982962500493
67.0,0.38424112052965814,0.22058063949215376,0.1448872007889482
77.0,0.36809822017187277,0.20718931753474523,0.14531116331418836
79.0,0.31767679450233594,0.2241597176214392,0.14506471407133256
86.0,0.3312438812217052,0.23145755135884521,0.14412850837448007
74.0,0.3435946074642341,0.24026311302567463,0.14507908360527688
71.0,0.37092039418703127,0.19737788714450968,0.14372924621049088
76.0,0.40172407547835615,0.20247202545310813,0.14497685083747724
69.0,0.36204242360260586,0.21878649801874728,0.14558656229056455
69.0,0.3618658702535869,0.21099311643083696,0.14513193647173153
65.0,0.35031845478443757,0.21964598133662505,0.14525484285515539
73.0,0.37694355158161347,0.2261251075390325,0.1448040284270616
79.0,0.33585195890042147,0.22883465854738985,0.1450235158476093
70.0,0.3891424753651928,0.21853116322444496,0.14491226431530063
81.0,0.3289041099136824,0.21050557356304936,0.14510529415879822
88.0,0.3621869782893137,0.20514042547691677,0.1450277607841816
76.0,0.3447741926514453,0.2488053369958737,0.14384568516305596
64.0,0.3730364377287762,0.23878759895556995,0.14468501601468517
74.0,0.35216058123220095,0.22371870155992324,0.1453142346552912
83.0,0.36061235669653363,0.2161481824711665,0.14530835227309105
78.0,0.3569356605814767,0.21364743039748685,0.14523398415934097
85.0,0.381788784850631,0.2301045638546532,0.14450932893971208
81.0,0.340864966789188,0.21922308466744894,0.14510901894704867
72.0,0.36812786936805403,0.23276079728324509,0.145324273701654
67.0,0.37021127255846525,0.23381274896457427,0.1451428538668197
71.0,0.32255050361604637,0.22294931814339713,0.14512804849846278
75.0,0.3901999794520802,0.24236242991166193,0.1442766364821073
73.0,0.3661039575673,0.2271497370769004,0.14544948468166188
72.0,0.34796336162505237,0.23689577258187766,0.14534566399006213
72.0,0.350019347510405,0.23758939273392102,0.1453597729347886
69.0,0.3445290181631615,0.2388489058482749,0.14483493850807028
73.0,0.3349842224259937,0.22658543046369578,0.14526415951480842
67.0,0.3526150481515065,0.22837781410834898,0.14518628123406144
77.0,0.3490814322054504,0.24669501011908954,0.14376125962494143
60.0,0.3293394414566223,0.23692203636498085,0.1448819278686914
70.0,0.3615296393724864,0.2504033626022029,0.14388557035480268
76.0,0.3747576286732041,0.2232192787588328,0.14503089236393885
79.0,0.3379437611020786,0.2421453114496979,0.14401561075706515
72.0,0.3143655042646669,0.23206164288753486,0.1452761907910623
72.0,0.36548943730450967,0.2330447305953041,0.1453077807769098
74.0,0.3533329847947995,0.2194467504901284,0.1453191439217194
67.0,0.3789092944778366,0.22740606200048794,0.14494399313389575
69.0,0.3695216441393332,0.23616121857661565,0.144913572454155
78.0,0.34627885692165855,0.22984795587268625,0.1454784348393994
77.0,0.34199185949538496,0.21262810182585973,0.14510875852137187
80.0,0.32468319445652477,0.22329205533549937,0.14471592520713672
75.0,0.35395182232848266,0.2538305693673025,0.14332531660635034
80.0,0.335615560009919,0.22839140850465176,0.1449821977294986
78.0,0.38274808994880827,0.24501972831806124,0.14409916610527373
72.0,0.36358285851213984,0.23317389886340167,0.14519666026542746
74.0,0.3486929950570691,0.21738439870755252,0.14514265682498384
71.0,0.3588543515290775,0.2397027497372576,0.14493416654415053
76.0,0.3703332471048299,0.22479943025510385,0.14543829493615326
76.0,0.3481238112508194,0.22154431497832716,0.14536991869049265
82.0,0.3737059408778688,0.2072629392033927,0.14510583639095145
77.0,0.3881830208476579,0.22040829821952443,0.14503863923590402
