best -> alpha = 0.251168127955914, beta -> 0.151393522942823, normalize_similarity = True, topK = 55
topK,alpha,beta,normalize_similarity,result
44,0.19437224381683849,0.23494229089621577,True,0.14127440704633604
54,0.1748593234889241,0.33045906553645776,True,0.13777652798565584
35,0.08852570789011652,0.24254083923053874,True,0.14025416247432243
41,0.09334742559840338,0.22618231186614438,True,0.14057761478098474
30,0.0939207881696257,0.23609786248534048,True,0.14052529859093066
5,0.08342380205584043,0.24039660705888047,False,0.11131127910826351
40,0.005531463018070323,0.4949563314956795,True,0.12483910012581502
28,0.09788095388015479,0.3213291387558346,True,0.1387589644855555
59,0.1513467777468395,0.23857887635979788,True,0.1404363694062283
59,0.1613993977470063,0.22116940662679752,True,0.1406432475984298
70,0.15502341416819806,0.2424132051329654,True,0.13955380019409816
54,0.06120889071971769,0.34726376763292965,True,0.1357925306287168
6,0.003174419864014247,0.437110875352105,True,0.11982892999974744
764,0.11636548734215463,0.2239519374666435,True,0.11620618906680567
33,0.18890190754986946,0.3659165444013126,True,0.13685102634754914
534,0.2266058050286604,0.26738745163276706,True,0.12144942599231912
174,0.05923642747224789,0.5553192671834779,True,0.11559042978951384
135,0.1414770467563852,0.19768586972652918,False,0.10141732168977985
75,0.23727628289768093,0.3128705220836073,True,0.13803399542448305
135,0.11119337574101024,0.14192058658101953,True,0.13750314047698536
58,0.2042230872337375,0.21440614084649168,True,0.14050316167419
59,0.19224340117780614,0.2317780199847873,True,0.14065182576327317
75,0.18501264828425518,0.36805087414365967,True,0.1347645324427399
56,0.23939310337082162,0.2011970432318324,True,0.14133551742510936
453,0.346057167951171,0.2870761828993281,True,0.12404486629848199
955,0.24888813128129442,0.3926144237345165,True,0.11715272073444853
81,0.18724328808721513,0.22097867295374732,True,0.139668992972853
484,0.2692418249562153,0.05598721004912993,True,0.1268320452194953
23,0.1289159118347341,0.12560076335618856,True,0.1351318844211072
57,0.21366580238796512,0.27643725538192054,True,0.13927437232470485
60,0.14991038743911753,0.18159231982739604,True,0.14102718966448818
91,0.15826925742195685,0.182102144977237,True,0.13922614201207711
127,0.2881534537770246,0.060920849879817024,True,0.13846855678452788
157,0.04444291828084357,0.11402744120682992,True,0.13643837640273423
16,0.3512669103689776,0.3349401970100662,False,0.12194556522637964
68,0.20153562455552776,0.15781087724800058,True,0.1406337867778267
189,0.24604621310329436,0.18702473667616168,True,0.13553943650099567
87,0.3782217100794065,0.04856676282807165,True,0.13898584595462757
592,0.31531102411457956,0.15455778918729224,True,0.12103900468663688
59,0.12977631962815833,0.24858786301786703,True,0.13963167329895837
121,0.19916230743689894,0.09275353494417427,True,0.1382279045285627
46,0.13379352185250049,0.2113947863152619,True,0.1410474211871896
25,0.03648185981990604,0.31033055339538884,True,0.13756956053655475
40,0.09763156874337628,0.15683670949306763,True,0.13928813680881594
985,0.2728575546929107,0.27564196903618793,True,0.11733703812511223
106,0.19726813103726654,0.21076477995750725,True,0.13838358544658724
413,0.04215836378928896,0.12862241326498516,True,0.12284585781014283
144,0.16916071892571535,0.3895767829764975,True,0.13015789045799347
86,0.10657530580196362,0.09275753183485154,False,0.09863265519718288
58,0.1483654240554848,0.21204971951486049,True,0.14085869935539364
24,0.23660176744797107,0.21630860070737767,True,0.14019953995863943
68,0.004542672597728309,0.3341421002478987,True,0.13499872728280693
44,0.0795224850424968,0.16315471645808433,True,0.1399761617426912
114,0.2941471920112442,0.2801071438351447,True,0.13662716986193135
61,0.13556768182243484,0.04344386642571929,True,0.13795278692104898
6,0.20743497342097228,0.2012727882925454,True,0.11156703233689554
92,0.16819681042629864,0.428944241383287,True,0.13075376938831718
45,0.05338174785166472,0.24953470840117414,True,0.1394774886029392
23,0.2479656348372402,0.308294269678487,True,0.1390258185108025
63,0.14960106384295485,0.2361328799591657,True,0.1398059192906737
76,0.09391613374193453,0.1388346079423548,True,0.13999825025002424
49,0.1750466850803724,0.17484299851554666,True,0.14155082405177674
34,0.21105347819435766,0.17320396047537417,True,0.14110169039702608
36,0.12130667853637953,0.08719030885389917,True,0.1362156759926614
5,0.3098718851211854,0.1798290988581126,True,0.10135872693539058
100,0.2388970816232806,0.12220553032346237,True,0.13900552974363986
39,0.17242846294987604,0.3484690792850521,True,0.13718670272535774
78,0.035081517686307226,0.2807707912008482,True,0.13799735761256432
122,0.08577608117368175,0.03346314503512521,True,0.13757388863660558
52,0.1989611952641216,0.1835064017608207,True,0.14123051764640437
26,0.20511652140461545,0.16586277601834826,True,0.13846462123876724
49,0.28434441032820473,0.20715327389092272,True,0.14198152837589678
94,0.28069490389650437,0.09003678654880831,True,0.13950310741182342
52,0.3234716625471306,0.20006933320903683,True,0.14158459365993437
56,0.38927348687594776,0.14360278353367378,True,0.14130214587646964
49,0.39089401379645883,0.19806440517603613,False,0.11662815849118006
147,0.33491957769754227,0.011669777969442408,True,0.13751537095489585
100,0.3459712752732735,0.27377143213830823,True,0.13709158329661153
53,0.393518516015334,0.1324585601139448,True,0.14041950945282278
67,0.26745249347425204,0.1688397472312111,True,0.1406605558795903
67,0.28059296473716333,0.18388208867665592,True,0.14074682449313358
75,0.2692757229846531,0.07969681131942918,True,0.13842831135925396
14,0.3033691921262769,0.17883323035341198,True,0.13259078432903354
119,0.44031597569439096,0.12043626585095425,True,0.13924706891066346
709,0.34507196086746245,0.2590151602104635,True,0.11990864070039588
81,0.2559045350834576,0.3139913060663201,True,0.13742926031909633
