{'topK': 176,
 'shrink': 55,
 'tversky_alpha': 0.42969947786319157,
 'tversky_beta': 1.7452154107165392}
 KFOLD -> 

topK,shrink,tversky_alpha,tversky_beta,result
172.0,47.0,0.43840366440630846,1.6847140575377098,0.4310170798255079
170.0,53.0,0.43305256840209316,1.6704521870107452,0.43076389449741204
174.0,51.0,0.4433606690612537,1.7181011254042171,0.4309229875989297
175.0,49.0,0.437182201684252,1.7086409208784508,0.43114931851031785
172.0,54.0,0.44816947968708154,1.6985641630233748,0.43127984284576104
177.0,56.0,0.4207287778786508,1.724252191982785,0.4316025105376795
186.0,60.0,0.42122181194513236,1.727446489872078,0.43055591756307504
183.0,65.0,0.42012925787044786,1.7291826702946569,0.42911316220234513
177.0,57.0,0.42615368102462103,1.7127551468035402,0.4311510724962512
175.0,55.0,0.42305271857162646,1.7169741728821444,0.4312948264509364
179.0,56.0,0.4239903749750539,1.7047728811289267,0.4312268035490318
172.0,51.0,0.4301059777502095,1.7190355451722392,0.4312158625347471
190.0,53.0,0.42685248418033106,1.7110165698616169,0.43069237590275466
195.0,58.0,0.42288724403756217,1.7330162773658577,0.42940699578226854
170.0,49.0,0.4421229917320027,1.6921112123886881,0.4310829269217798
177.0,52.0,0.43997225856429567,1.72371314247083,0.43083001034853435
181.0,50.0,0.4337555370490782,1.698070362608688,0.43081957886969713
174.0,54.0,0.43146834521427824,1.749824690840134,0.43149113700221764
174.0,54.0,0.4363998082230725,1.734060863662035,0.43132622996921915
176.0,54.0,0.4316284763340047,1.7421859935835713,0.43154773446003686
179.0,57.0,0.430405995010517,1.7465236143941942,0.4310814906644846
176.0,55.0,0.4287471973607913,1.7418957900799352,0.43206651602609153
176.0,55.0,0.4284514930211994,1.7387374850471016,0.43193220393214843
176.0,55.0,0.4281265102728051,1.7383578413302996,0.4319310299380277
176.0,55.0,0.4280425487441294,1.7395866935673518,0.43195802795679494
179.0,56.0,0.42789460341266805,1.7411197483485608,0.43124131798258214
178.0,58.0,0.42512667588670544,1.7372314110686986,0.4313821848919736
176.0,55.0,0.4282584946804534,1.7289202577290255,0.4312320758699379
176.0,57.0,0.42581173411933737,1.7416112258940522,0.43135720664534954
176.0,55.0,0.4290721000877926,1.7446050755412825,0.4319065791696314
180.0,56.0,0.4293816523674203,1.7456420663705852,0.4310632059606985
178.0,55.0,0.4242539363606151,1.7371465039099478,0.43147709941242984
175.0,59.0,0.42693324085532613,1.7325714105159935,0.43139562189953357
173.0,55.0,0.42204052257855185,1.7399243274542813,0.43128424020074796
177.0,57.0,0.42842599325900316,1.744665428260405,0.43129654685663116
181.0,56.0,0.432862731771678,1.7372144262918898,0.4309463417671531
178.0,53.0,0.4248115322508664,1.7497436548849588,0.43091846677170964
175.0,52.0,0.4346082721333069,1.7217120322499684,0.431197528749233
176.0,54.0,0.4306221990112422,1.7426403628544882,0.4314776143662825
176.0,54.0,0.4321536808319803,1.7383737609284104,0.43164204340623535
173.0,55.0,0.42880671956719735,1.732248103786369,0.43152588676764175
180.0,56.0,0.4268888742542718,1.7385788234116042,0.4312125310686597
177.0,53.0,0.4259215509264786,1.7343236593538165,0.4309532699839619
175.0,60.0,0.43257291761699906,1.7261948815190604,0.4305594912509752
179.0,55.0,0.43546904065855035,1.745342119747284,0.43106641306783516
174.0,54.0,0.4289937781976632,1.7296835005219127,0.43130857071665313
182.0,58.0,0.42322533810178664,1.7360716882352414,0.4305747675352807
178.0,56.0,0.43086675664232243,1.739441347569398,0.4312967267239993
177.0,54.0,0.43214912431046076,1.7427514866144955,0.43144480380859895
176.0,64.0,0.4315857893237994,1.7473257101396447,0.4297819263483301
176.0,53.0,0.4334672437618338,1.7426892088520702,0.4313560284250329
173.0,55.0,0.42775457324773697,1.7311562830179745,0.43142985896507885
172.0,54.0,0.42934431995768485,1.7350375738755976,0.43159485105340467
172.0,52.0,0.4259953357552483,1.7270325260711383,0.43123327715347354
174.0,57.0,0.43005687119655744,1.7355197356463283,0.43152145465501707
171.0,53.0,0.4295162610627584,1.7398911913910846,0.4308765395372305
175.0,56.0,0.42031279929195164,1.7305827632734823,0.43139888059254144
180.0,54.0,0.4241659241715364,1.7254197034183647,0.4309259556939921
177.0,54.0,0.43116730502977957,1.736050527191075,0.4314632817376565
176.0,55.0,0.4274802687235499,1.7438913769533406,0.43187736894987055
178.0,55.0,0.42768544765015043,1.7389452777254588,0.4313008888499286
174.0,55.0,0.4291901282936989,1.7440274548772516,0.43132406561846526
176.0,56.0,0.42182437491701225,1.7473990008316294,0.4314694334743775
