{'similarity': 'tversky', 'topK': 19, 'shrink': 58, 'tversky_alpha': 0.4887535976845104, 'tversky_beta': 4.914103478159176}
trialid,accuracy,similarity,topk,shrink,asymmetric_alpha,normalize,tversky_alpha,tversky_beta,normalize_avg_row,similarity_from_distance_mode
114,0.1321350316872021,tversky,46,135,,,0.7572727834671055,4.321691663037403,,
115,0.1360199430619279,tversky,18,130,,,0.8633877538641808,4.81399496405667,,
116,0.12472496341233237,tversky,111,124,,,0.7990516532263595,4.339117086048058,,
117,0.0837713727624057,euclidean,68,119,,True,,,True,log
118,0.11693683910531283,tversky,523,140,,,1.0043353234971415,4.790420245483346,,
119,0.13446651785413924,tversky,42,110,,,1.0373834848157273,4.98270846950189,,
120,0.12785903398913562,tversky,88,95,,,0.8313451859781534,4.397837208682079,,
121,0.13536293690114815,tversky,13,128,,,1.2535027079661962,4.695902413873318,,
122,0.09397351357887856,tversky,1,100,,,1.3391195986068807,4.630536371248395,,
123,0.13420196621205704,tversky,40,106,,,1.0271395003944412,4.761276892628421,,
124,0.13646675583411963,tversky,22,119,,,1.3045610051038747,4.374202383099817,,
125,0.1305397756413207,tversky,61,122,,,0.8122353600807906,4.439446897499177,,
126,0.13390963107440865,tversky,25,142,,,1.3761645034038459,4.503394437107173,,
127,0.12048731115286723,tversky,648,118,,,1.6016220750143209,4.9957223347299395,,
128,0.13359777595755276,tversky,42,111,,,1.0716456606960099,4.253529380734307,,
129,0.12159168300025805,jaccard,136,102,,,,,,
130,0.11908193026859248,cosine,78,152,,,,,,
131,0.13684062656890048,tversky,21,113,,,1.2751119741102337,4.603139658238016,,
132,0.11898307329112921,tversky,2,106,,,1.2945516380335849,4.83465124832608,,
133,0.13550514477447,tversky,25,124,,,0.9021862860757391,4.490425897958547,,
134,0.13092875450124467,tversky,56,112,,,1.0768679052655323,4.568207016931817,,
135,0.1223597556133903,dice,24,89,,,,,,
136,0.11897967229963342,tversky,2,129,,,1.449580237623422,4.7273812697179585,,
137,0.1331741807009779,tversky,45,118,,,0.7229019239317808,4.831550308165055,,
138,0.12833631066641027,tversky,85,99,,,0.9568767634161681,4.5631707731025,,
139,0.1373514645938139,tversky,23,109,,,0.48638265635439465,4.411800239848733,,
140,0.1272755227425412,tversky,109,107,,,0.4610751934704976,4.667660850209897,,
141,0.13470154849542035,tversky,21,190,,,0.6856536503591972,4.315803502080798,,
142,0.13247134581837847,tversky,64,115,,,0.25778137540727886,4.404180781738754,,
