{'topK': 25, 'shrink': 51, 'tversky_alpha': 0.8124063348128021, 'tversky_beta': 6.7297971145367015}
best = 0.14067279772604566
topK,shrink,tversky_alpha,tversky_beta,result
29.0,47.0,0.8524859892618901,6.843530558890947,0.13872921481721806
24.0,57.0,0.6896451140608936,6.550384431163986,0.139562900084246
36.0,64.0,0.7880632000702404,6.775430899995268,0.1379801376071423
67.0,71.0,0.705687056918414,6.938034622794447,0.13459421684077824
20.0,52.0,0.825825636205214,6.431338379262509,0.14009903833042026
27.0,52.0,0.8720711424611145,6.6407721164253894,0.13903721125034646
23.0,61.0,0.8166982219589891,6.304212412295535,0.1392263085165877
16.0,58.0,0.7773467365590249,6.551692465167782,0.1392262684110843
21.0,34.0,0.8383841569556147,6.727525790234636,0.1391815435150274
31.0,47.0,0.7217759199854472,6.402115385786197,0.13815036495104313
17.0,67.0,0.6605307690598317,6.8384562893713365,0.13895522863468096
27.0,56.0,0.7512729448928588,6.494922599203486,0.13977473173208252
14.0,52.0,0.8026828828824696,6.043861019861523,0.1397687654729059
19.0,77.0,0.7868228446604341,6.192781787706424,0.1394967880780534
21.0,53.0,0.855203251029431,6.615448016242375,0.1398037901540753
20.0,55.0,0.8227911836774904,6.427740684410019,0.13952093691061299
23.0,60.0,0.8888275648783097,6.678442925684627,0.1395960052967164
25.0,49.0,0.8133677336506231,6.303056211068847,0.1394857534806449
18.0,44.0,0.7640965719244367,6.484857013445426,0.13872541130397578
23.0,59.0,0.7444329942409048,6.435263806730253,0.1403122311757072
29.0,64.0,0.7384120675243097,6.9250437971322,0.1387770224839588
23.0,59.0,0.7107707125729467,6.601663331507715,0.13946979978259738
26.0,68.0,0.6706559369216354,6.7241927390937715,0.13950778279938672
33.0,70.0,0.6863270241330441,5.919428057014049,0.1375772563162098
21.0,53.0,0.7934748335755522,6.3951024742763405,0.13971743418040797
20.0,56.0,0.7578624150927298,6.138117910145728,0.13975881995427408
16.0,60.0,0.7391834926393176,6.517360944737676,0.13953051225359614
24.0,50.0,0.7184749106123279,6.242046816726094,0.13984043471691945
18.0,63.0,0.8378327182728307,6.3486447594532684,0.13919689337778152
23.0,74.0,0.7728764015028429,6.443336123608838,0.13964081273449913
27.0,54.0,0.7998264616467456,6.820232278948631,0.13994269825424385
28.0,136.0,0.7994354942443054,6.85345326013782,0.13714069265732431
25.0,66.0,0.9117997299304572,6.771601597101423,0.13943084201233366
31.0,58.0,0.7521172637449408,6.971425152586204,0.13822447174786162
22.0,55.0,0.8124651961251302,6.668469991799006,0.14000375142860574
27.0,56.0,0.8650220261691013,6.6941678582077655,0.13901422849621967
22.0,46.0,0.7774094649186679,6.575788902861765,0.13890742922243401
25.0,50.0,0.7259965871122633,6.882870462242604,0.13954391405013028
29.0,61.0,0.70095285014583,6.816250015513862,0.13895537751560355
23.0,41.0,0.818681373759956,6.622669802614342,0.13927610778938185
26.0,54.0,0.7951150160022156,6.68869056702102,0.14003739826904046
27.0,54.0,0.7952303529497099,6.729296953574504,0.1397182525205798
26.0,20.0,0.8459465471762481,6.658539213110253,0.13807118155817566
19.0,48.0,0.7713069821363414,6.803828716675229,0.1390752087438099
22.0,58.0,0.740163459150293,6.514279661718633,0.13964094343567654
24.0,52.0,0.8055247479855293,6.566153721922011,0.14015771488342912
24.0,51.0,0.7592299107905961,6.588468215153016,0.13982500866088282
29.0,55.0,0.7885528654503204,6.902864634822884,0.1389113324292947
21.0,54.0,0.8281609856398048,6.671243658157832,0.1397551900807232
80.0,52.0,0.7310078078949036,6.988611444838231,0.13448530787826513
25.0,62.0,0.8081587167478721,6.755529123229056,0.13973837997591423
17.0,45.0,0.7011920283384655,6.375840161050667,0.13909783484440463
27.0,58.0,0.6263628992580991,6.536454118853579,0.13906866701149945
30.0,48.0,0.7805714126864306,6.722547861483988,0.1387913899183545
23.0,65.0,0.8450229458740238,6.472303418562346,0.13962240603637882
20.0,81.0,0.8069667246508779,6.608022877356597,0.13948003853608126
22.0,60.0,0.748165182706402,6.814806947867091,0.13965374958100066
25.0,57.0,0.8240370598112404,6.28246927402801,0.13914078691752305
18.0,63.0,0.767362245861801,6.5278341528914225,0.1397106965729147
20.0,51.0,0.8754112886712805,6.445929529963322,0.1401419100739948
20.0,51.0,0.8694571502643839,6.411425970041303,0.14016653760586426
20.0,50.0,0.8997801381683385,6.348387193100459,0.14012614623816697
15.0,51.0,0.8875250493071788,6.331041090063462,0.1399446155744316
12.0,46.0,0.9274194052721108,6.184682342050215,0.14005273946456442
12.0,47.0,0.9289472561811495,6.202424420081192,0.14011853168078675
9.0,43.0,0.9461442318358677,6.21480673193506,0.13730408110891607
4.0,41.0,0.9405890327388807,6.035897728420881,0.12965373749235082
12.0,46.0,0.9073950720763871,6.178518062344682,0.13989734972477832
6.0,49.0,0.8680643974283326,6.091969844230952,0.13417001438016396
14.0,47.0,0.8871800871116581,6.390887330438973,0.14024225247315764
11.0,44.0,0.8929279779967223,6.37267351160072,0.13883617767085293
12.0,46.0,0.9232989510187677,6.307552495505751,0.13994193869293806
9.0,48.0,0.9588353748001996,6.400814076292847,0.13733517003577989
14.0,39.0,0.8752168074010435,6.444076509852525,0.14002840749969356
13.0,37.0,0.9039225926104099,6.265746654244607,0.13983623356091565
16.0,51.0,0.8703061742798108,6.455508123489651,0.13898330098098197
15.0,31.0,0.8826597552234862,6.427490213768713,0.13923656832565307
10.0,39.0,0.9310734032918239,6.1276942245949915,0.13772349078289065
19.0,43.0,0.9139427364681286,5.838898694801709,0.13961531375628758
14.0,49.0,0.9533503579773835,6.238692472478988,0.13967440485627047
14.0,51.0,0.9704745697353242,6.348451101832097,0.13982445899704338
16.0,53.0,0.861880384931167,6.521446394691607,0.1392050587813249
17.0,41.0,0.8993540950184563,6.45720398117087,0.13919742594472187
20.0,46.0,0.920730214823158,4.804942268965662,0.13925301046813762
7.0,55.0,0.8813218330780854,6.6066981900764405,0.1352960723040798
21.0,52.0,0.8529632933402742,6.547506840212944,0.13979380520365628
19.0,49.0,0.9930005866030498,6.666771917483191,0.1392677823194864
18.0,54.0,0.8954817901706214,6.317164100700176,0.13940336407694726
13.0,56.0,0.9344666686967,6.41473318160813,0.1396517144440505
11.0,47.0,0.8403623570431976,6.59121446617847,0.13758630698645505
21.0,52.0,0.8764035410280194,6.475377151061925,0.14041146089470408
21.0,24.0,0.8731206676176901,6.193841364093887,0.13817800161992613
24.0,50.0,0.9115932853660865,6.369896517027717,0.14021085176611764
23.0,50.0,0.9288645232525883,5.983459013435339,0.14001590612979412
24.0,48.0,0.9020855344460622,6.364452446313567,0.13992684617515602
20.0,52.0,0.9711190002654766,6.489344708777043,0.13927554585469934
24.0,43.0,0.881721760898822,6.243347198320891,0.13950431528371238
17.0,53.0,0.9115014532824535,6.458756521921709,0.13976976523154078
26.0,50.0,0.8534241957267407,6.325007729311702,0.13969956773460102
22.0,35.0,0.9370193869918256,6.556757346380005,0.1391928504536425
19.0,45.0,0.8705110617945379,5.6440014291599745,0.1391867921935469
21.0,57.0,0.8945711837225471,6.409888687128899,0.13973564396361265
24.0,47.0,0.43883494913719256,6.49062603211515,0.13794573215399777
26.0,52.0,0.8372518252074436,6.285208516744289,0.13969352709004754
23.0,50.0,0.9231046984717769,6.028149720997453,0.14018697967105528
23.0,50.0,0.9211137480625123,6.107185757106239,0.14001866396146495
20.0,54.0,0.9647181881643649,6.368305810365276,0.13934330429072456
22.0,48.0,0.9082314076528146,6.139208275685286,0.14014714025003525
22.0,87.0,0.9468174375543691,5.962879653473004,0.13885838549220228
25.0,48.0,0.916734949746043,6.1726694896321375,0.13990362479499224
24.0,51.0,0.9034548402271512,6.256931443856032,0.1399862451341661
28.0,46.0,0.5688638567921868,6.053310582944338,0.13914984077046755
21.0,56.0,0.9480151232972636,6.181473718720019,0.13949271550061842
18.0,49.0,0.7227465519391962,6.6341224593916595,0.13901184974769687
23.0,53.0,0.8659431187435861,6.406622755611996,0.13983814694467758
15.0,43.0,0.8855915275359745,6.525719973571225,0.13975727608884547
19.0,45.0,0.919559152837673,6.32203829877288,0.13976955195799678
22.0,58.0,0.8533014390859006,6.102540208185504,0.13926147998677396
74.0,52.0,0.7522336148899541,6.45816342869882,0.1350403234524323
26.0,40.0,0.8928363988006129,6.256415470974975,0.1387194508330222
10.0,55.0,0.981056663322289,6.709096950765957,0.1383608237671713
20.0,50.0,0.8274225188786727,6.5369439148515465,0.1403169922486624
21.0,49.0,0.7787132266026261,6.587480578790329,0.13947687061875672
20.0,47.0,0.8323266240938151,6.5346960852810065,0.14008670211802385
20.0,47.0,0.8206946094767812,6.519727175251707,0.14018241943191878
18.0,47.0,0.825738646899993,6.558404272451395,0.13952297791923157
20.0,45.0,0.8395362569691568,6.36536768046565,0.1393798754856219
19.0,50.0,0.8212826263026259,6.502758589761333,0.13993089736313466
22.0,48.0,0.8575798475357285,6.620797798254073,0.1398906007653529
20.0,51.0,0.8373512972187557,5.362041018992806,0.1389518106134505
24.0,47.0,0.2037671225028187,6.407332773555624,0.13623804633649322
17.0,44.0,0.7394561380713367,6.490389040961855,0.1392815144038253
22.0,52.0,0.6769786455465743,6.351622153534589,0.13857165143637237
21.0,49.0,0.8048979181860002,6.562277884017497,0.13968733238234052
24.0,53.0,0.7934186855199199,6.745966794444479,0.1400022641795857
23.0,55.0,0.7700497913175051,6.647697375941288,0.14005415694551035
23.0,56.0,0.7534806546099209,6.653672424354994,0.14009157161038518
23.0,57.0,0.7679770791011529,6.640077763950495,0.14025157990471077
21.0,59.0,0.7161870980214112,6.713307066733591,0.13942583982735
19.0,56.0,0.7469536501709052,6.527749648382,0.13987536714485285
23.0,59.0,0.7619020608857872,6.648171705806589,0.14025055355116373
23.0,60.0,0.729786493900782,6.62227432252471,0.13986042818397978
20.0,58.0,0.7662656966063097,6.490172117458899,0.13985225620904312
23.0,57.0,0.6937259814471347,6.4201073427918685,0.13926740045907948
25.0,51.0,0.7564677849286872,6.764505598910723,0.13984058837885635
22.0,53.0,0.7934981169992478,6.590080203227908,0.13923179944084027
24.0,61.0,0.7818614873387788,6.697936780196863,0.1401971527086675
24.0,61.0,0.7398839580540936,6.657229362695733,0.14012474891166682
25.0,61.0,0.7096954261148927,6.662590739228901,0.13995426249351872
24.0,60.0,0.7393097423036409,6.548698707131848,0.1405633302182116
24.0,101.0,0.7471434992143842,6.441069000474061,0.13887134709567384
25.0,62.0,0.7695624797364606,6.6334350357393745,0.14014578603007247
27.0,62.0,0.7753239699135681,6.555066583954647,0.1395432804610519
25.0,63.0,0.7311558196508396,6.304643839770555,0.13977858450319172
22.0,60.0,0.7104592388763896,6.486377909994434,0.13955027457458893
25.0,64.0,0.7704429543845664,6.61581002650455,0.14010874954648264
25.0,65.0,0.7698859828714785,6.692888262455656,0.14011194035112096
28.0,66.0,0.7594095076854123,6.710819529093837,0.13937130149034452
26.0,62.0,0.7641618378331273,6.617875221862049,0.13963914184727982
25.0,59.0,0.7383999444738905,5.840477223177293,0.13915676743588867
28.0,64.0,0.7818534959429707,4.823062785039567,0.13866977262715266
24.0,60.0,0.7841582234397444,5.738447392664654,0.13962307005731225
25.0,62.0,0.5117227633066419,6.577586043697961,0.13881788122756303
27.0,65.0,0.10209935394132291,6.681132615873272,0.1353594369940629
23.0,59.0,0.8102817578620843,3.184487870044674,0.13753822214563188
26.0,57.0,0.590945295040685,6.378347785281557,0.13899271091459295
24.0,64.0,0.9057096999917711,6.516768866479872,0.13972247911415814
23.0,68.0,0.7322998899373461,6.784505019339188,0.13963942730549794
26.0,58.0,0.7805803676816252,5.617220880380819,0.139006629557075
22.0,61.0,0.8825703325841849,4.484152761233101,0.1393788742914229
54.0,55.0,0.7564417716403972,6.616777035792492,0.13836173817188283
24.0,57.0,0.9340030903589878,6.44813085946508,0.1399362950147792
28.0,114.0,0.6398705303756405,6.294795881230055,0.13815957162288484
21.0,61.0,0.7700840893972142,6.554169569850679,0.1395829033415633
25.0,64.0,0.8081934508083144,6.734624855175577,0.13976005219157284
22.0,54.0,0.7243125294874173,5.970753637289011,0.13998687201121562
27.0,50.0,0.32789542864732824,6.371300601569026,0.1365919527726386
24.0,59.0,0.6928745241395102,5.90889427592432,0.139913925949851
22.0,54.0,0.8648244237434233,4.990385161462653,0.13981794044314952
26.0,49.0,0.9076187019187588,6.479528467214552,0.13953953880223596
41.0,57.0,0.9980988385883359,6.880401826129664,0.13800772265402222
21.0,51.0,0.9529548836538965,6.652910873377802,0.14024205577517315
21.0,51.0,0.9410475799227008,6.054700861396322,0.13946098822859096
20.0,48.0,0.8907308069303826,6.688181269611558,0.13954047102230285
23.0,53.0,0.9612683872564043,6.2230634559814275,0.14005572853615206
18.0,55.0,0.47579583703883166,5.100832278964224,0.1392433552596438
21.0,50.0,0.9761755573118289,6.530569467534577,0.1394995553213009
19.0,45.0,0.9541381011787468,6.836819476977704,0.13944639175980478
23.0,52.0,0.6614165477029528,6.423427699444054,0.13852774239137902
