{'similarity': 'tversky',
 'topK': 186,
 'shrink': 49,
 'tversky_alpha': 0.457927493309229,
 'tversky_beta': 1.7403219296132904}
best -> 0.4333118755316039
KFOLD -> 0.4638778337724706
similarity,topK,shrink,tversky_alpha,tversky_beta,result,normalize_avg_row,similarity_from_distance_mode,normalize,asymmetric_alpha
asymmetric,446,23,,,0.4278937775120545,,,,0.21230529130732934
asymmetric,419,99,,,0.4035398086903775,,,,0.0890208820180991
asymmetric,362,18,,,0.42282386488351226,,,,0.17248930363146986
asymmetric,395,28,,,0.4303925022383299,,,,0.11517120992787679
asymmetric,395,27,,,0.43033078516950496,,,,0.11968726884111547
asymmetric,397,26,,,0.42498553343684037,,,,0.03804918189732098
asymmetric,366,36,,,0.42787059881151146,,,,0.10637468566469664
asymmetric,346,23,,,0.42040081442262095,,,,0.06631866892235211
asymmetric,398,21,,,0.4273534894200144,,,,0.2437722654705425
dice,386,28,,,0.4153392254072692,,,,
tversky,415,15,0.8419236619841491,0.703930683094361,0.41419148646986464,,,,
asymmetric,430,4,,,0.3214896189846481,,,,0.18450787249776715
asymmetric,370,33,,,0.4286421898380916,,,,0.13209754499411636
asymmetric,368,40,,,0.42012294436382147,,,,0.2924002930341443
asymmetric,341,34,,,0.4287267852814936,,,,0.11767376759787715
asymmetric,391,30,,,0.4301656890896797,,,,0.12551370730467992
asymmetric,323,32,,,0.4291312392419223,,,,0.1304581731559997
asymmetric,332,31,,,0.429491561404987,,,,0.12414665975608678
asymmetric,322,33,,,0.4292122014111241,,,,0.12219946224631983
asymmetric,254,33,,,0.42751234665655985,,,,0.11472528036420443
asymmetric,306,43,,,0.4234770964639891,,,,0.22445147625930187
asymmetric,327,185,,,0.39158470227005837,,,,0.15565526999907503
cosine,301,38,,,0.4118623727254036,,,,
jaccard,273,20,,,0.4189951347839955,,,,
asymmetric,332,33,,,0.428662968885545,,,,0.1290725968177619
asymmetric,325,32,,,0.42775330098051945,,,,0.18219950436822013
asymmetric,341,25,,,0.4281899755967272,,,,0.11816110423082049
asymmetric,316,37,,,0.4279141695917591,,,,0.08873379653042403
asymmetric,360,30,,,0.42492797590448284,,,,0.0029858272520550816
asymmetric,343,45,,,0.4237150421739822,,,,0.15987045911757658
asymmetric,230,26,,,0.4274431704888975,,,,0.20985354066541917
euclidean,286,35,,,0.32723109118385557,False,exp,True,
asymmetric,355,31,,,0.4266129085147813,,,,0.26227559878617707
asymmetric,324,40,,,0.4269200712749938,,,,0.12798984093719057
asymmetric,376,29,,,0.4297463369536025,,,,0.12864865132213182
asymmetric,385,22,,,0.4245021732324535,,,,0.09581510221432672
asymmetric,380,27,,,0.43004535568605834,,,,0.16738820927216697
asymmetric,358,86,,,0.4084653329157469,,,,0.16024262099481287
asymmetric,381,29,,,0.428836050475198,,,,0.0355725635062414
asymmetric,378,28,,,0.42774519916577614,,,,0.034340314882514614
asymmetric,401,27,,,0.4284138462358583,,,,0.07209282941909465
asymmetric,402,31,,,0.4281725201677147,,,,0.032202999733146734
asymmetric,384,36,,,0.42763259663460984,,,,0.0859524606901517
asymmetric,366,23,,,0.4282601654155698,,,,0.18518850678292204
asymmetric,344,32,,,0.42932022321501856,,,,0.12264311872744249
asymmetric,333,29,,,0.4292323080483,,,,0.12565094475991315
asymmetric,294,29,,,0.4277209738561564,,,,0.11897683548419907
asymmetric,341,36,,,0.42853546455327796,,,,0.07820893450495357
asymmetric,314,31,,,0.42908938560711674,,,,0.1412259021966663
asymmetric,311,31,,,0.4284279533041238,,,,0.15326767597844748
asymmetric,340,26,,,0.3974425595442869,,,,0.7159009594623655
tversky,314,39,0.4255899448525764,1.7263362530536357,0.4313560356690328,,,,
tversky,270,40,0.4990272018411388,1.6933848822294453,0.4303275203890019,,,,
tversky,253,41,0.43205568798920235,1.7217666668937388,0.43255309163933736,,,,
tversky,265,41,0.469779889024911,1.704894149394858,0.4311481113803008,,,,
tversky,249,47,0.46139331603497025,1.7142269500128278,0.4317017043623289,,,,
tversky,186,49,0.457927493309229,1.7403219296132904,0.4333118755316039,,,,
tversky,195,48,0.4498934348070099,1.7016577525255474,0.43311022594847903,,,,
tversky,200,49,0.4399222193465914,1.7123322028706813,0.43295712012595716,,,,
tversky,153,56,0.44071248252538453,1.7155381316375713,0.4316533435541373,,,,
tversky,194,52,0.41359492971851486,1.7048184512944144,0.4326646763574136,,,,
tversky,201,61,0.4150263865129625,1.7185879188986783,0.4311751579394864,,,,
tversky,192,57,0.42429125263404877,1.7087254843222066,0.43205901609771885,,,,
tversky,191,62,0.4383112253774593,1.7312834383247218,0.43152550578238047,,,,
tversky,177,63,0.4244258671057977,1.7224842708739465,0.4321455647639116,,,,
tversky,178,65,0.4438169988505668,1.7090996361899546,0.43140775512556806,,,,
tversky,197,61,0.4355802593347181,1.7100617834457372,0.43093902276363094,,,,
tversky,197,67,0.43569793631377124,1.7275015245935783,0.43054624817745296,,,,
tversky,195,65,0.4218818899394353,1.7202347413848624,0.43061619653835054,,,,
tversky,194,61,0.43628285584146975,1.693587284577085,0.430860852990787,,,,
tversky,199,65,0.43259846806190355,1.7083782178060256,0.4303587489107662,,,,
tversky,200,66,0.42682124259787313,1.7158759290014836,0.4303045107613293,,,,
tversky,191,73,0.43392370041276956,1.7165111604806147,0.43000846125444725,,,,
tversky,195,64,0.4256500213358515,1.7380777872575952,0.43113462476599035,,,,
tversky,198,63,0.4485117053079158,1.7281038380886533,0.43105641649420345,,,,
tversky,168,62,0.44406678445722764,1.7328301350686264,0.43319799366816314,,,,
tversky,159,63,0.42820528472828334,1.7327300204177087,0.4321734548569572,,,,
tversky,154,62,0.4198743925942743,1.7257219328841393,0.43191526172732064,,,,
tversky,152,60,0.4178991853222562,1.7285828417418647,0.43140919955684615,,,,
tversky,151,60,0.4342924346635422,1.7332695860081426,0.43179259096797085,,,,
tversky,152,60,0.42666037517702565,1.7338433136925204,0.43175340730230277,,,,
tversky,154,60,0.42459815022084274,1.7373015370289542,0.43166274869574117,,,,
tversky,124,57,0.42136387384486446,1.7471370225868716,0.4281007451029148,,,,
tversky,157,60,0.43185397734837655,1.7491422349981836,0.4320192904431407,,,,
tversky,160,61,0.43057166605016867,1.7527256182958901,0.43156871052794304,,,,
tversky,160,51,0.4261973821409358,1.7610399463406798,0.4311252220669173,,,,
tversky,157,51,0.4196438831557703,1.7841353724979283,0.43108966769956836,,,,
tversky,138,56,0.4182213721625386,1.776019345483348,0.42938339009664206,,,,
tversky,170,69,0.40840376966630754,1.7676132145603871,0.4317049172319504,,,,
tversky,172,69,0.3734966360491624,1.767707759660754,0.4318009796790316,,,,
tversky,110,69,0.3636938514036838,1.79994426395184,0.426472315846364,,,,
tversky,175,59,0.34363668101281175,1.641777033792401,0.4318272302063819,,,,
tversky,169,77,0.35751503745938523,1.6376839259651277,0.42983643938328125,,,,
