hybrid slim * alpha + rp3 *(1-alpha) e topk della matrice ibrida
best -> accuracy = 0.079778872, alpha = 0.747434136, topk = 8401
KFOLD -> 0.09565513438458673
SUBMIT -> 0,14069
alpha,topK,result
0.738771924,9071,0.079718664
0.735720283,7583,0.079718653
0.735674614,1983,0.079717924
0.73896308,2003,0.079717745
0.725190247,8313,0.07971552
0.72521404,7082,0.079715342
0.752282335,7255,0.079715256
0.726229844,9708,0.079713616
0.71800511,6497,0.079712235
0.717974996,6632,0.07971193
0.721964681,5690,0.079711101
0.756757245,7100,0.079710393
0.757305335,7838,0.079709799
0.756672168,7197,0.079709472
0.726520124,8209,0.079709229
0.757073052,5670,0.079708581
0.757157228,8131,0.079705428
0.72127393,3545,0.079703253
0.722135214,6036,0.079702828
0.722940848,9751,0.07970105
0.723161279,6985,0.07969813
0.715510773,8523,0.079688987
0.716346902,7940,0.079685885
0.758603898,8818,0.079674132
0.738244419,790,0.079668446
0.762549201,7490,0.079666881
0.762773467,8190,0.0796631
0.759958154,7481,0.079659312
0.764380772,8144,0.079654576
0.764251074,7686,0.079654405
0.761377956,7446,0.079653602
0.761953354,7256,0.079649784
0.764890322,7840,0.079648523
0.765148876,8555,0.079646041
0.711180183,6490,0.079637786
0.766432778,8141,0.079637666
0.711562546,6214,0.079637027
0.706282536,3030,0.079633699
0.712691138,6906,0.079633028
0.706872425,6684,0.079623902
0.710082611,7084,0.079622908
0.708336293,5750,0.079621673
0.710634305,7334,0.07962145
0.704486728,9524,0.079620699
0.704502963,8315,0.079620693
0.768041333,5873,0.079619366
0.768439457,2445,0.079617511
0.708411569,4346,0.079616874
0.708436241,1148,0.079615272
0.768894799,7800,0.079600209
0.769174491,7631,0.07959821
0.769981637,7421,0.079594699
0.770549887,7901,0.07958948
0.688183081,8728,0.079581234
0.689686555,7519,0.07957984
0.701008144,7559,0.079576999
0.692209058,6814,0.079572173
0.694564549,7572,0.079571649
0.699229093,9093,0.079570828
0.693224712,7156,0.079570614
0.771970632,9439,0.079570033
0.772512858,7923,0.079568279
0.686084118,7442,0.079566089
0.695301925,8078,0.079564471
0.77261809,5406,0.079558857
0.682091142,9356,0.079556577
0.681895429,9991,0.079556273
0.697546278,7407,0.079551307
0.773196022,7725,0.079550489
0.773035447,5092,0.079549717
0.697318146,9560,0.079548397
0.774399335,1534,0.079546685
0.697212048,736,0.079541711
0.698248001,8033,0.079541264
0.68133321,9910,0.079539673
0.777423603,7349,0.079529834
0.776426899,6313,0.079525981
0.78807445,2962,0.079525047
0.788730351,1197,0.079513999
0.79095996,7695,0.079509566
0.786329769,6843,0.079508226
0.786463302,7830,0.079505611
0.680264055,1465,0.079505004
0.784687024,7706,0.079496725
0.778789854,7471,0.079496176
0.785122778,1808,0.079495367
0.780422764,7863,0.079492505
0.77788747,7127,0.079490292
0.780282806,8003,0.079489974
0.781001892,7208,0.079485086
0.781450167,7524,0.079477501
0.782015866,9750,0.079468481
0.676555033,6687,0.079460795
0.79465265,7347,0.079436358
0.674565741,7992,0.079434533
0.794052587,9210,0.079434369
0.792706987,6814,0.079428205
0.79232913,7670,0.079428128
0.792873918,9371,0.079426682
0.673850736,8354,0.079419463
0.673300611,6636,0.079417135
0.72249455,499,0.079415583
0.797786021,6955,0.079415409
0.797876136,9255,0.079414453
0.672349071,8320,0.079407723
0.80040657,6538,0.079404845
0.802173576,6769,0.079397361
0.803379739,6975,0.079396738
0.802273792,8634,0.079396722
0.657543822,4740,0.079395995
0.802013936,8402,0.079395694
0.592360991,8696,0.07938457
0.645445493,6209,0.079382012
0.654465098,3690,0.079381354
0.650287493,2771,0.079376515
0.604789232,6351,0.079374854
0.666440358,9944,0.079373904
0.658911472,9078,0.079371706
0.631199762,3416,0.079354445
0.620988866,1969,0.079353662
0.66098083,1571,0.079347717
0.635091605,9510,0.079331546
0.580438934,2341,0.079329396
0.808979263,4083,0.079319559
0.606229493,5369,0.079310093
0.81118155,3842,0.079301244
0.811918498,8910,0.079289281
0.813435118,5591,0.079277387
0.567801864,9780,0.079273447
0.814130627,9593,0.079267551
0.815761357,7532,0.079266997
0.61291209,1723,0.079261431
0.824637432,7582,0.079244143
0.818439692,7822,0.079240187
0.818153361,6334,0.079240104
0.826676204,5885,0.079230498
0.82740182,8019,0.079229827
0.827771858,6515,0.079226741
0.829830869,2583,0.079211797
0.560650004,7290,0.079194444
0.838028763,7585,0.079148966
0.849399069,6277,0.079145787
0.838932045,7577,0.079143582
0.842974423,3057,0.079136827
0.842440053,7400,0.079125159
0.852985094,8500,0.079110983
0.858872818,7746,0.07907227
0.868120421,6741,0.079052314
0.860321836,2194,0.079008289
0.887910489,2654,0.079002291
0.891997664,7698,0.078999638
0.528783228,4566,0.078985368
0.907001123,3317,0.078910118
0.522167108,7107,0.078906684
0.909500445,3849,0.078882475
0.917115081,6643,0.07886804
0.483606732,4404,0.078853417
0.484886605,6355,0.078841238
0.937784132,5942,0.078673302
0.453749934,7681,0.078613032
0.440367179,2366,0.07847463
0.956586174,7945,0.078470334
0.968029009,713,0.078387707
0.983940836,8926,0.078295756
0.986931735,4800,0.078285512
0.423140811,6913,0.078198215
0.996025714,7255,0.078177505
0.405481829,4248,0.078110012
0.873922129,227,0.077750748
0.348691415,7702,0.077673813
0.316296749,1122,0.077407068
0.260955201,6488,0.076881867
0.229352484,4040,0.076735965
0.195372407,7060,0.076376331
0.642075415,87,0.076091158
0.13865968,3301,0.075697338
0.071163318,5478,0.074830144
0.021237206,5226,0.074052669
