alpha * slim + beta* rp3_beta + gamma * knn + delta * p3_alpha
alpha,beta,gamma,delta,accuracy
0.7,0,0.1,0.2,0.060603902515199544
0.7,0,0.3,0,0.07923717209503095
0.7,0.1,0,0.2,0.06051168435906711
0.7,0.1,0.2,0,0.0793212522001945
0.7,0.3,0,0,0.07901777760583206
0.8,0,0,0.2,0.06061641884468925
0.8,0,0.1,0.1,0.06293977577200521
0.8,0,0.2,0,0.0789534926034467
0.8,0.1,0,0.1,0.06287716564826278
0.8,0.1,0.1,0,0.07901130435921853
0.8,0.2,0,0,0.07869775032575776
0.9,0,0,0.1,0.06294707207633395
0.9,0,0.1,0,0.07849637263662865
0.9,0.1,0,0,0.07838328762241321
1,0,0,0,0.07783227875613044
