Trial,SLIM_w,RP3b_w,ItemKNN_w,Accuracy_val,Accuracy_test
30,0.690673251453675,0.10729338813985023,0.20203336040647488,0.07804606814105798,0.09511872037639423
31,0.5208548565880885,0.22216903808397215,0.25697610532793935,0.07865497624678976,0.09520472431273307
32,0.49787170123099594,0.2310898656646844,0.27103843310431963,0.07865410939752704,0.09516349079321855
33,0.522836341876748,0.21277793713679624,0.2643857209864558,0.07861636948833331,0.09524899377465779
34,0.6609243577046182,0.1729744600144278,0.16610118228095416,0.07858717391746547,0.09517950598921372
35,0.5522652610011833,0.23214410387257423,0.21559063512624238,0.07849538186876652,0.09525282008422781
36,0.6724438643046543,0.1478279102500756,0.17972822544527023,0.07824998002069793,0.09519260240261197
37,0.6985463127345621,0.1437194173346672,0.15773426993077064,0.07828178151903366,0.09515151050216526
38,0.6101128877380334,0.2241165810428602,0.16577053121910645,0.07849716882088759,0.09528132002814717
39,0.4156006638750163,0.24712610369365223,0.3372732324313314,0.07842417082589975,0.0949252075531167
40,0.5549124105834502,0.18792865887492835,0.2571589305416215,0.07844163811784008,0.09538463979719718
41,0.5863706328836625,0.23407877129948781,0.17955059581684962,0.07836414185215491,0.09524349380247024
42,0.6567129251519253,0.21821633662699141,0.12507073822108325,0.07832006662443497,0.09516805780644823
43,0.4780332459575019,0.2671124561233751,0.254854297919123,0.0787244314869135,0.09513348902561561
44,0.47728627862710504,0.27329969280036726,0.24941402857252773,0.0787065624526547,0.09518226528882043
45,0.47185963450302476,0.280935402452905,0.24720496304407022,0.07874494651854146,0.09517002032083954
46,0.45275271282454616,0.2847401757641984,0.26250711141125543,0.07870385855683089,0.09507121919051184
47,0.3205119612617397,0.4059526740390676,0.2735353646991927,0.07816645094258125,0.09452621023510344
48,0.4461510416311171,0.42482865384284857,0.12902030452603447,0.07775039621111567,0.09459292879836326
49,0.3490182034796505,0.29792135364231453,0.353060442878035,0.078294386122251,0.09466463737635959
50,0.4064526613294467,0.3693059283815596,0.2242414102889937,0.07836070036198857,0.09485661518791781
51,0.48246121788139323,0.23864359926990325,0.2788951828487035,0.07864081681416192,0.09520755053529899
52,0.5113659511274659,0.27389193334650114,0.21474211552603298,0.07854151329898375,0.09517002943153181
53,0.40427334324840675,0.3475945134631501,0.2481321432884431,0.07849326141369344,0.0948763843617358
54,0.43895015490706474,0.288468806916851,0.2725810381760842,0.078693434173414,0.09512946764717119
55,0.3531886756357264,0.34565278501746843,0.30115853934680525,0.07832450468621314,0.09470318090435635
56,0.39023165545086763,0.3259685385483289,0.28379980600080346,0.0784340659490033,0.09488014903974555
57,0.36467378111673504,0.2709406680370152,0.3643855508462498,0.07826706657712636,0.09471533376931808
58,0.43471949592557224,0.3207924630788038,0.244488040995624,0.07854058293013576,0.09504574080919584
