First optuna run.
Version 5 of notebook XGBOptuna (Federico)
best -> 0.06581986324568043 and parameters: {'cutoff': 126, 'n_estimators': 143, 'learning_rate': 0.05382819480164889, 'reg_alpha': 27.94649085796498, 'reg_lambda': 1.5570444597506696, 'max_depth': 8, 'max_leaves': 5}
cutoff,n_estimators,learning_rate,reg_alpha,reg_lambda,max_depth,max_leaves,result
55.0,56.0,0.07326956056058308,40.392905312266315,0.4436607592740674,5.0,6.0,0.06441200636474251
120.0,90.0,0.024710933048683013,0.001815535459204811,35.45304741043221,7.0,1.0,0.023421892047513826
201.0,145.0,0.00011533471525362386,7.795175624555265,2.4351981674063254,9.0,6.0,0.061587499440200026
275.0,81.0,0.07775790178231233,0.22465634939565277,1.0090737057209944,10.0,5.0,0.05299601585271444
81.0,70.0,0.013633993995351309,22.468402531582072,0.001313135632288563,4.0,4.0,0.06504628939330412
243.0,100.0,0.09976348299028999,97.4891256258792,0.14027859304379406,1.0,8.0,0.06059431112202953
153.0,150.0,0.046789526982094105,49.3294852074857,0.6978847805776973,6.0,3.0,0.06309766535157436
133.0,147.0,0.034477240201433834,56.05739455110632,0.5618598086582269,6.0,4.0,0.0650535718033051
93.0,138.0,0.05604601182344583,61.29653641124096,1.8964523404201314,6.0,5.0,0.06532154894317257
108.0,139.0,0.06750274239837013,14.091774655381059,4.06751665650863,5.0,5.0,0.06524264886249596
30.0,130.0,0.00046253962908404645,5.15134936594628,1.912542561106184,7.0,6.0,0.059016284296135
99.0,121.0,0.023886911044470917,24.172923398222412,0.29724247220402394,4.0,5.0,0.06424584225890163
61.0,137.0,0.03208327281677704,78.11872581894829,6.579437774855622,6.0,6.0,0.06508043433638645
85.0,115.0,0.05971682048638377,14.843906208286215,17.826867521881937,9.0,7.0,0.0647538686437939
48.0,142.0,0.015201047626215387,0.07847697059325538,1.087953287436859,5.0,3.0,0.05634619994827877
181.0,124.0,0.042364072488574184,37.0906784599829,0.0027992623384557997,10.0,5.0,0.0645015459612117
104.0,138.0,0.07578386775354483,11.574314830787323,3.865335309505662,5.0,5.0,0.06523436594598625
120.0,146.0,0.06332017418778646,3.2403158258670155,2.2278588661527943,5.0,4.0,0.05964726054500384
77.0,140.0,0.00216352923098512,16.424271106984616,3.9377625745576195,6.0,6.0,0.06348431065959485
