UserWise, 6 groups. Version 15 of notebook. Best of leaderboard up to now (06 02 02) is 0.07859379381621226 on val, 0.09847160817320726 on test.
Submission scored 0,14072 :(
Trial,SLIM_w_group_0,RP3b_w_group_0,ItemKNN_w_group_0,SLIM_w_group_1,RP3b_w_group_1,ItemKNN_w_group_1,SLIM_w_group_2,RP3b_w_group_2,ItemKNN_w_group_2,SLIM_w_group_3,RP3b_w_group_3,ItemKNN_w_group_3,SLIM_w_group_4,RP3b_w_group_4,ItemKNN_w_group_4,SLIM_w_group_5,RP3b_w_group_5,ItemKNN_w_group_5,Accuracy_val,Accuracy_test
10,0.014842540442327577,0.6077363809657843,0.37742107859188795,0.6345113711902928,0.16408158248279456,0.2014070463269127,0.5004023332852998,0.23635073961666844,0.26324692709803166,0.9803510117789955,0.009014600782789442,0.010634387438215126,0.9817045417706204,0.0054631899643369985,0.012832268265042539,0.8759409518980573,0.09016794895472693,0.033891099147215754,0.07743888255984965,0.09736752683113249
11,0.0058657994348641175,0.6770200847134363,0.3171141158516997,0.674122525582637,0.14103948696281182,0.1848379874545512,0.5875689080594182,0.18492291321308643,0.22750817872749535,0.9307938668243763,0.023821054770904102,0.04538507840471969,0.9951312419551691,0.0035902809494078734,0.001278477095423048,0.8439044875675544,0.10714202161847158,0.04895349081397393,0.07759812016607535,0.09744254169024628
12,0.003323183550522532,0.536459633568234,0.4602171828812435,0.7559255439960783,0.014559987474554788,0.22951446852936688,0.18066651627113875,0.2842815427794787,0.5350519409493825,0.94593151112259,0.006353083266658253,0.047715405610751785,0.9886658222901938,0.004704150477668335,0.0066300272321378265,0.8665267745395268,0.08593391554939162,0.04753930991108161,0.07736373737898918,0.09689261664060422
13,0.03483140459070366,0.5812670710870972,0.3839015243221991,0.4378273795863602,0.1762349091281847,0.385937711285455,0.458205476434886,0.395139284170422,0.14665523939469194,0.4753846615058801,0.28074954172477734,0.24386579676934264,0.756138540495932,0.09213576455210234,0.1517256949519657,0.321876217180621,0.6588180577067123,0.019305725112666663,0.07767195036351035,0.09778366379783672
14,0.2624382277719615,0.4636674499677141,0.27389432226032434,0.670730573322278,0.24916752391557234,0.08010190276214964,0.5891270387063982,0.20729725859604742,0.20357570269755434,0.27113135545401235,0.16048931976527292,0.5683793247807147,0.8250944726829705,0.08510458593478687,0.08980094138224275,0.2811826454093979,0.7077239252694487,0.011093429321153443,0.07740628856330063,0.09690233988008289
15,0.02555250922461863,0.5032235981137423,0.47122389266163894,0.5915728483148888,0.08947055995594175,0.31895659172916957,0.4547429799933181,0.23537583707204585,0.3098811829346361,0.6576037847828721,0.19052931357048483,0.15186690164664304,0.8778604216176312,0.0993139799770657,0.02282559840530302,0.016071862035594395,0.897954046173459,0.08597409179094667,0.07687869681478418,0.09675959182172594
16,0.02839370671033524,0.2784564900969858,0.6931498031926789,0.5807591574052574,0.08109324587489838,0.3381475967198442,0.6199231736916131,0.1826063419793863,0.19747048432900063,0.3875699580264594,0.36867314997148004,0.24375689200206058,0.782750187237642,0.10599267872562888,0.11125713403672914,0.500380176596992,0.49898053426695865,0.0006392891360493933,0.07795659940835202,0.09810629245838419
17,0.031201534113557663,0.28803235025141455,0.6807661156350278,0.5636765583124094,0.07103696466470598,0.3652864770228847,0.1898417151667895,0.24368878428484267,0.5664695005483679,0.5144373143382127,0.19455108208015784,0.29101160358162953,0.6406325238035167,0.13507789995886343,0.22428957623761991,0.4508717723498274,0.5479344502143968,0.0011937774357758239,0.07796594485877771,0.09791902677013159
18,0.07792894280020843,0.1863405967888909,0.7357304604109006,0.6042778124763424,0.00441142662457506,0.3913107608990825,0.1660098136864873,0.217700954699836,0.6162892316136768,0.5350508079783838,0.2189210197819326,0.24602817223968365,0.7032024335165364,0.19631264995854908,0.10048491652491441,0.44942930551165505,0.5485605782895209,0.002010116198824038,0.0778643161057497,0.09765852309559496
19,0.03998621613915232,0.349984170297031,0.6100296135638167,0.7252140484074842,0.05432993747781,0.22045601411470575,0.2803100519251758,0.2127689655660642,0.5069209825087599,0.48025981048208893,0.16207286960366923,0.35766731991424183,0.4135478836127928,0.3073009796614892,0.27915113672571795,0.3732592192305003,0.5264893465004512,0.10025143426904842,0.07799906992986778,0.09795049059783048
20,0.07933394374295226,0.2866381663034554,0.6340278899535924,0.8200914010368252,0.07201255716686113,0.10789604179631375,0.26103684519714165,0.19491899216107003,0.5440441626417883,0.49852907386019857,0.1690189390318587,0.33245198710794277,0.38018981248821027,0.36884621462201667,0.250963972889773,0.43866352053666974,0.4111936215118689,0.15014285795146132,0.07812992872689035,0.09769881017657082
21,0.08396277161184174,0.2962711645638297,0.6197660638243286,0.8247550133544738,0.0640915619677095,0.11115342467781678,0.13034795775516989,0.09584767578579302,0.7738043664590369,0.4775628356025565,0.16038551090088787,0.36205165349655566,0.36226171447184535,0.3922847661757457,0.24545351935240906,0.44411207038736805,0.3973077094202026,0.15858022019242937,0.07733397616886335,0.09704351342622876
22,0.03880354157015191,0.4215219394152608,0.5396745190145872,0.9405745491361974,0.0276518059276444,0.031773644936158314,0.27454900994937576,0.22323041911976105,0.5022205709308631,0.5175559128768807,0.15592417539646372,0.32651991172665557,0.4438605308127091,0.2894206519575375,0.2667188172297535,0.4051718844219338,0.48841096501732884,0.10641715056073728,0.07825417292662804,0.09776421561898888
