Primo tentativo di split userwise.
Non ha miglirato probabilmente a causa di overfitting sul validation
Trial,SLIM_w_group_0,RP3b_w_group_0,ItemKNN_w_group_0,SLIM_w_group_1,RP3b_w_group_1,ItemKNN_w_group_1,SLIM_w_group_2,RP3b_w_group_2,ItemKNN_w_group_2,SLIM_w_group_3,RP3b_w_group_3,ItemKNN_w_group_3,SLIM_w_group_4,RP3b_w_group_4,ItemKNN_w_group_4,SLIM_w_group_5,RP3b_w_group_5,ItemKNN_w_group_5,Accuracy
22,0.5583123925754276,0.40266831777153433,0.039019289653038025,0.3614956427841394,0.27985341517769186,0.3586509420381687,0.4649135975912885,0.24300914618214786,0.2920772562265636,0.8291640268518994,0.07011232405861696,0.10072364908948364,0.24532994430767482,0.5180398502758515,0.2366302054164737,0.6496129363999128,0.2217648616969014,0.1286222019031857,0.098689004244945
23,0.6034875105054489,0.2998665125668913,0.09664597692765975,0.2563427505833303,0.3117269223172941,0.43193032709937557,0.5900475935265915,0.1226660753711732,0.28728633110223534,0.730192982195181,0.10523338070165138,0.1645736371031676,0.3172179362641368,0.5514714443664203,0.13131061936944308,0.25352726682438376,0.532727611119008,0.21374512205660823,0.09849519088846695
24,0.5559309826037462,0.4143787935445286,0.02969022385172517,0.4024036479026864,0.25553433559368827,0.3420620165036253,0.49366864488540435,0.07768259248373711,0.4286487626308585,0.9067411732033043,0.036895509038120236,0.05636331775857549,0.5454360997205057,0.3570531407274652,0.09751075955202915,0.49440113287885484,0.10402775024541244,0.40157111687573277,0.09839259948620345
25,0.5272354483872916,0.4647605663290979,0.008003985283610541,0.12537967543970813,0.11193570048070893,0.7626846240795829,0.6810881896571103,0.10540881864505008,0.21350299169783962,0.7286604017105641,0.12846811165590027,0.14287148663353552,0.19770185453090444,0.49885982251736627,0.3034383229517294,0.37189288524308134,0.6048359286270047,0.023271186129913923,0.09825993460147431
26,0.4153766739875547,0.5142985934333338,0.07032473257911157,0.2637593702596011,0.3120262499593148,0.42421437978108417,0.4919912599676206,0.25823353758348083,0.24977520244889861,0.49288267470314023,0.2923603928403095,0.21475693245655025,0.41886031920569017,0.47085945924140765,0.11028022155290229,0.33421844806638956,0.5171496997038575,0.14863185222975292,0.09894834566806716
27,0.3724408514029965,0.49098478959691755,0.13657435900008602,0.26106198350857696,0.4577732521827598,0.2811647643086632,0.7849639547302484,0.10898586134186466,0.10605018392788693,0.49484853776418125,0.29457188091294606,0.21057958132287258,0.281454107103445,0.6949527280914711,0.023593164805083777,0.47780536514490674,0.37701918229844084,0.1451754525566524,0.09900995862691672
28,0.3641952611596668,0.46121173762529777,0.1745930012150355,0.286122648721206,0.5226491397720489,0.1912282115067451,0.6691391523480955,0.19491749152726914,0.1359433561246354,0.46299917091695386,0.5277547522133429,0.00924607686970323,0.29103589672189273,0.6994569312535871,0.009507172024520302,0.4323106551125484,0.3360365507647245,0.23165279412272707,0.09881139640238935
29,0.5809887573398532,0.28176625433543184,0.13724498832471493,0.4384382899518957,0.25138089906196304,0.31018081098614125,0.7801819012096134,0.09763547631796962,0.12218262247241694,0.48628698112695534,0.43344495909154734,0.08026805978149736,0.2306138790193428,0.7428448317089114,0.026541289271745754,0.43757481742202864,0.36153301811245747,0.20089216446551386,0.09835072775390832
30,0.4905106877959209,0.24626192374262806,0.2632273884614511,0.3496979110767236,0.4039459296815168,0.24635615924175963,0.6603878374186936,0.17126548118991447,0.16834668139139208,0.6490665549273696,0.21859390155521555,0.13233954351741486,0.12331762252196267,0.8764504099733793,0.00023196750465799809,0.5889941580208329,0.2460458890809378,0.16495995289822935,0.09822849983175103
31,0.40944019429442224,0.49817860233719646,0.09238120336838128,0.25142148221196564,0.3058443740835002,0.4427341437045342,0.4829871636390339,0.27786303109635885,0.23914980526460725,0.4828107174867889,0.2895505997000984,0.2276386828131128,0.3675628971111057,0.5682728955391246,0.06416420734976956,0.35879494806789813,0.4932958386295249,0.14790921330257692,0.09895002312031073
32,0.37914765651248294,0.49640990817044545,0.12444243531707162,0.35974518886540496,0.27199713091135774,0.36825768022323735,0.37589541894873296,0.31782965416839665,0.3062749268828703,0.44855987280751963,0.21215630433359547,0.33928382285888486,0.32992706339546973,0.6258829992101201,0.04418993739441019,0.42093507120138407,0.5023263991858081,0.07673852961280775,0.09903734792002356
33,0.532549785163242,0.38049039568161,0.08695981915514794,0.37421611448150877,0.3565434184898339,0.26924046702865745,0.3834569758423815,0.3028192802398255,0.313723743917793,0.40497920933606996,0.22996904008998095,0.365051750573949,0.5106213663288856,0.46549971776722765,0.023878915903886713,0.3809422036269529,0.46366929275445035,0.15538850361859674,0.09891056278153286
34,0.41310054303129445,0.4520043866928,0.1348950702759056,0.5554619581538283,0.2002940566049034,0.2442439852412684,0.4858291903721495,0.2954182281162612,0.2187525815115893,0.5464618501645354,0.1673370453257792,0.28620110450968544,0.3664462259676417,0.5876032288951163,0.04595054513724199,0.5131989829982884,0.3731446468640138,0.11365637013769779,0.09941488298452021
35,0.43575015275201,0.40483591626113735,0.15941393098685264,0.578945962287777,0.17668611523348754,0.24436792247873546,0.46946473958227136,0.29313967016316306,0.23739559025456564,0.5495112577994843,0.16789041883407793,0.2825983233664377,0.41240048811882074,0.5329511084605116,0.05464840342066772,0.5309716430914788,0.3540970237987868,0.11493133310973457,0.0993264858741701
36,0.3901477691933455,0.47124548320186194,0.13860674760479258,0.37867055227607815,0.42714146319109464,0.19418798453282723,0.34314741849405433,0.35776641077443405,0.29908617073151167,0.46817454191120617,0.17068524531416487,0.361140212774629,0.40953814400009536,0.5549727474787363,0.035489108521168204,0.3891029011084283,0.24205044538022238,0.36884665351134927,0.09874120370539596
37,0.2877407705076085,0.4570542750783122,0.25520495441407914,0.3608307199483892,0.2895425000571585,0.34962677999445235,0.422551869155694,0.30349948266909305,0.2739486481752129,0.3460681712846733,0.29128325592165566,0.36264857279367113,0.5074466140763045,0.4426980369635139,0.04985534896018158,0.2598594120498921,0.6609020068223255,0.07923858112778243,0.09883647197148014
38,0.42100804843117046,0.44103756245384623,0.13795438911498328,0.32937875050004023,0.172525978997733,0.49809527050222674,0.41059876423519565,0.3888898180971559,0.20051141766764843,0.618172748129618,0.09388237664600077,0.2879448752243812,0.38628747938216007,0.5631717070160416,0.050540813601798254,0.4227691843255588,0.3300869715739678,0.24714384410047346,0.09896227390545433
39,0.19066335255499503,0.7007181271650874,0.10861852027991757,0.4723692104035942,0.22125880418815155,0.3063719854082542,0.24083912989057857,0.2783189760804308,0.4808418940289906,0.5720297670149593,0.14428763950078713,0.28368259348425356,0.31778293289307746,0.6250254256314693,0.05719164147545321,0.8054467759210703,0.11328866356463664,0.08126456051429311,0.09865025871266958
40,0.3096096841190984,0.5448860033847264,0.14550431249617538,0.35378396993935757,0.269055232932075,0.3771607971285675,0.5067726770559501,0.21206046287028138,0.2811668600737686,0.5845882913658007,0.057853584631134325,0.3575581240030651,0.3840465728692065,0.6037077090827088,0.012245718048084674,0.5797639263675529,0.11972615552594888,0.3005099181064982,0.09903524624339981
41,0.313767977053242,0.5447957464318329,0.14143627651492519,0.34362486067860176,0.2605651230222318,0.3958100162991665,0.5007596048385241,0.2118944341187529,0.2873459610427229,0.5782040588330187,0.07196141598003962,0.34983452518694164,0.35790194152602495,0.6278101766997269,0.014287881774247967,0.5731969077007545,0.12398992510045467,0.3028131671987908,0.09902210912538702
42,0.27584486536193564,0.5347128720079773,0.18944226263008695,0.46497713717445865,0.20230186186188165,0.33272100096365964,0.44023580326719597,0.2958296917795788,0.26393450495322524,0.5376450110534357,0.1642018351526152,0.298153153793949,0.189616179671807,0.7955521776401474,0.014831642688045552,0.43436216259937593,0.4253059239130353,0.14033191348758886,0.09870112200219641
43,0.14833032236923094,0.7557006401881377,0.09596903744263137,0.39160996142111626,0.23500755665815168,0.37338248192073215,0.5348110997737464,0.21513559911996005,0.25005330110629354,0.582850007482118,0.05728903646055333,0.35986095605732865,0.41815615509301646,0.5641819832362795,0.017661861670703976,0.6773088170016465,0.01912540329247762,0.30356577970587584,0.09905507782928125
44,0.12169905473546709,0.7949316728759753,0.08336927238855768,0.4503388241456938,0.24402822825810822,0.30563294759619797,0.43372193126162917,0.3342124295637079,0.2320656391746629,0.5814005144802212,0.04434722729695635,0.3742522582228224,0.3806906162444752,0.6147908326101693,0.004518551145355376,0.46934933112258326,0.525953140949575,0.004697527927841607,0.09933965742552649
45,0.14738592002960238,0.7872239810798505,0.0653900988905471,0.3833951527585422,0.20928369667895133,0.4073211505625065,0.42144172704125316,0.3587956044932012,0.21976266846554568,0.5470490380295846,0.06134615963650453,0.39160480233391093,0.4073627223216676,0.5900253938798574,0.0026118837984749244,0.9604432533587913,0.00021333932327273855,0.039343407317935904,0.09873413088437605
46,0.13853252398791785,0.7778295054570862,0.0836379705549958,0.29068061845115467,0.4182696314988847,0.2910497500499607,0.4803476273537948,0.30664896053835644,0.21300341210784865,0.49416369761434853,0.06537279541851312,0.4404635069671383,0.4725084308996198,0.4950393920081856,0.03245217709219462,0.2647707578805419,0.4607563269112893,0.27447291520816874,0.09890376022140376
47,0.06287419975231474,0.8376606947615849,0.09946510548610026,0.3444840769181362,0.35267625304130856,0.3028396700405551,0.37099221286099016,0.3585139918060277,0.2704937953329821,0.5142238813557977,0.0014656568927768306,0.48431046175142556,0.5347396552857714,0.44568596766401086,0.01957437705021777,0.5905154683464167,0.40910540119568944,0.00037913045789390344,0.09932784043358568
48,0.0779418293113198,0.7892886886065079,0.13276948208217226,0.37073934223651717,0.39940084943964355,0.2298598083238393,0.3488243829455195,0.3812339864251348,0.26994163062934584,0.3604784592350092,0.13088903462095478,0.5086325061440359,0.5544998645684404,0.44239838431261774,0.003101751118941925,0.4410025663456944,0.5442831414899679,0.014714292164337677,0.09914297938335774
49,0.03891189389315149,0.8769323068733482,0.08415579923350038,0.2596700490151383,0.46971378463942093,0.2706161663454408,0.23571377571807497,0.45299731290279477,0.3112889113791302,0.37843573448286405,0.010923209824779876,0.610641055692356,0.6048154565917626,0.33180276046025636,0.06338178294798102,0.2705039143345876,0.5727768841843931,0.15671920148101934,0.09880993960861204
50,0.20761094273236716,0.5590272265931764,0.23336183067445643,0.516304143845077,0.26060074027270386,0.2230951158822191,0.2308069931331094,0.5803160383494189,0.1888769685174717,0.6614698001144577,0.008217843737078241,0.3303123561484641,0.5935139774985725,0.3473777211881956,0.05910830131323201,0.5478789898993174,0.44883148990970595,0.003289520190976676,0.09947821721309126
51,0.20545664681268444,0.5589854638604523,0.23555788932686328,0.5895292531070743,0.21602682474158114,0.19444392215134457,0.2306911958992413,0.5583762344697873,0.21093256963097126,0.6524002363245351,0.007008510219224593,0.3405912534562403,0.5922651905822037,0.35267501596097534,0.05505979345682093,0.5519708178076658,0.4424753440362399,0.005553838156094375,0.09938263839212708
52,0.21129958771735197,0.5375442153060412,0.2511561969766069,0.4050207919831428,0.32139155826049587,0.27358764975636146,0.1960201562530776,0.6485578646422573,0.1554219791046651,0.6283919260373013,0.019099782619759736,0.35250829134293893,0.5899402544869297,0.33673521327485423,0.07332453223821604,0.4168714465758248,0.5095864081017855,0.07354214532238972,0.09933054890024422
53,0.20741094731459872,0.5468035586911558,0.24578549399424537,0.3901190023127284,0.33111928202601754,0.27876171566125396,0.18337644583603752,0.6385415819413743,0.17808197222258806,0.6390074214595827,0.03126742552724139,0.32972515301317595,0.6309150269043448,0.27906801975865075,0.09001695333700449,0.41708953257940357,0.4970909237470163,0.08581954367358013,0.09947363893365258
54,0.1872914934962695,0.5549708699936533,0.2577376365100772,0.3764592819997027,0.3487961653250797,0.2747445526752175,0.21853506487075777,0.5976467779577639,0.18381815717147823,0.8069774635728167,0.07312393039518061,0.11989860603200261,0.5796693579509682,0.3310824333770669,0.08924820867196481,0.48709433898196786,0.4079888484079776,0.10491681261005442,0.09943966295887387
55,0.18553481985301531,0.5597253236348813,0.2547398565121033,0.382016646523338,0.25390222304199794,0.364081130434664,0.13846387429786067,0.7431976120202851,0.11833851368185432,0.7044707149912338,0.1432570874719367,0.15227219753682938,0.6281529459437123,0.2793647018096019,0.09248235224668587,0.5127241312087661,0.35746600687654434,0.12980986191468946,0.09931258730160206
56,0.1769969964867136,0.5784001985069248,0.24460280500636156,0.2954600839271781,0.56751409108167,0.13702582499115185,0.16045148419046304,0.6859856075756434,0.15356290823389354,0.746913457170379,0.08239099469607593,0.17069554813354504,0.6781671009571605,0.25826345423137365,0.06356944481146588,0.5889884189566247,0.3502179099880368,0.060793671055338366,0.09971103914833673
57,0.19512537856799078,0.5265664253938772,0.27830819603813195,0.23877675889509145,0.5815989767538785,0.17962426435103004,0.16951040302589251,0.6850454991409165,0.14544409783319093,0.5988613231249267,0.2639160460758871,0.13722263079918623,0.744151894356747,0.20056237447911734,0.0552857311641356,0.4824342318309101,0.33960818489287153,0.17795758327621844,0.09947900499116294
58,0.1987480660666656,0.5576483754003863,0.24360355853294813,0.23643703362715107,0.5888490023808458,0.17471396399200326,0.16881019127877303,0.6778352647126109,0.15335454400861595,0.6689778606242754,0.15296527829975773,0.17805686107596666,0.7375308129387337,0.20908174675075722,0.053387440310509106,0.48399384085034236,0.4062358155224815,0.10977034362717603,0.09956599881559207
59,0.19486950567991435,0.5447018148824083,0.26042867943767734,0.17070284356101992,0.7228158721947879,0.10648128424419231,0.16607841442857962,0.6892793730520345,0.14464221251938594,0.6772449728606126,0.1560976162616722,0.16665741087771518,0.7007878416347725,0.23715829689475876,0.0620538614704688,0.5371196339625524,0.31258391220436943,0.1502964538330783,0.09963243683917655
60,0.1908113819033822,0.5483563810890559,0.26083223700756186,0.2414114111469146,0.6012500208777471,0.15733856797533832,0.15245155225330032,0.7059169025468939,0.1416315451998059,0.6786299559513093,0.17132195658027277,0.15004808746841788,0.7627602521248641,0.16568806388192178,0.07155168399321409,0.5001522193913035,0.36456536332172346,0.13528241728697307,0.0996440375237228
61,0.1979998874633827,0.5353568353514429,0.26664327718517444,0.20286714803992295,0.6649392931065823,0.13219355885349474,0.16329471074728916,0.6932477149080872,0.14345757434462358,0.6676722131941913,0.1636562309800567,0.1686715558257519,0.756844394324414,0.17000248638172316,0.07315311929386277,0.48300482044526794,0.383665145705399,0.13333003384933312,0.09965029862416266
62,0.19074048936817875,0.5413849839009375,0.26787452673088386,0.2282523879901552,0.6273451101164075,0.1444025018934373,0.09086304074593099,0.8283132937921379,0.08082366546193115,0.6126321781304248,0.264708019090127,0.1226598027794482,0.8175565395832166,0.1250347302552525,0.057408730161530766,0.4598944434845167,0.35979904613891417,0.18030651037656906,0.09931555087111704
63,0.19181308670945327,0.51658582361764,0.2916010896729066,0.2149290994083182,0.5771854852763253,0.20788541531535654,0.14728183358806404,0.7234592035339619,0.1292589628779741,0.6754147646659396,0.19900059143731066,0.12558464389674967,0.6892147566193854,0.20120234700256662,0.10958289637804802,0.5449464784796874,0.31488759567221153,0.14016592584810103,0.0995201998139819
64,0.1867079189220713,0.5076081260294568,0.3056839550484719,0.2276116357657807,0.6041273342089668,0.1682610300252524,0.14751693439261696,0.7321221514186067,0.12036091418877636,0.5735550723612288,0.36394023761460925,0.06250469002416179,0.6776020374315793,0.2132848802672726,0.10911308230114798,0.5354928958030174,0.3187097846873264,0.14579731950965635,0.09952846485636328
65,0.17795358018024937,0.4923991177152647,0.329647302104486,0.2269545580234564,0.6018286837375966,0.17121675823894697,0.13840548097857905,0.7504995821402638,0.1110949368811572,0.6720560292720895,0.23107763589144023,0.09686633483647032,0.6737190917899708,0.20784163739567668,0.11843927081435247,0.5458801461163276,0.31465145036895975,0.13946840351471265,0.09958514036648985
66,0.21685096931604728,0.4618661325678607,0.32128289811609206,0.26993827184510727,0.5710463001308758,0.159015428024017,0.11735035358835577,0.7894322052743822,0.09321744113726205,0.6536846187780274,0.3024143589350272,0.04390102228694555,0.6701914638152351,0.18780735043407112,0.14200118575069384,0.42486693353774035,0.3818685763674097,0.19326449009484986,0.09908551944772775
67,0.16396832567969638,0.628464526279067,0.2075671480412366,0.27917638329671374,0.5547103233315457,0.16611329337174055,0.18084910776549987,0.7106604038144998,0.10849048842000031,0.5068958828035278,0.4263855599771005,0.06671855721937171,0.7155145779003722,0.16120695262783202,0.1232784694717958,0.4523827752905198,0.36000679641107475,0.18761042829840557,0.09938549000336179
68,0.19629730743123305,0.45078632352386694,0.35291636904490004,0.23620028450069974,0.5494494235470643,0.21435029195223612,0.16581098959467155,0.6830045534221306,0.1511844569831979,0.627496936401258,0.2041910550582729,0.16831200854046927,0.6528090434832333,0.23986053995334872,0.10733041656341785,0.4918392082788816,0.24808563651700208,0.2600751552041163,0.09932875924326219
69,0.17109383421132224,0.5904524208302613,0.23845374495841634,0.26778166937900916,0.6069020151731682,0.12531631544782262,0.06991126029051586,0.8735389596476237,0.05654978006186034,0.6677360573816056,0.24078130950395965,0.09148263311443469,0.8708141041543865,0.07468768696515243,0.05449820888046084,0.488761984352349,0.3866335804404453,0.1246044352072057,0.09918108552719429
70,0.15589434015647063,0.627183925713086,0.21692173413044338,0.1759380662844006,0.687201476743613,0.1368604569719865,0.23313594077070163,0.5712863353265291,0.19557772390276926,0.5075081522431316,0.2636012856179964,0.22889056213887202,0.7146213724136256,0.20255849171132928,0.08282013587504519,0.44491645190065676,0.3530874679369565,0.2019960801623868,0.09947825867656154
71,0.19283068035545592,0.5068690764864516,0.30030024315809245,0.23275037850387248,0.5592718864801239,0.2079777350160037,0.13894289165479123,0.7370993554185107,0.12395775292669811,0.6805546682637397,0.19635348428385024,0.12309184745241003,0.6806429462985518,0.19727732120045594,0.1220797325009922,0.5982243266955636,0.27958807808606095,0.12218759521837541,0.0994691945516747
72,0.20853145110949187,0.5635355114301276,0.22793303746038046,0.21808327670415678,0.5736705605899517,0.20824616270589158,0.15779297419620683,0.7066885481591924,0.1355184776446008,0.587829619000448,0.1986079222554568,0.2135624587440952,0.662878215990977,0.21277876006525528,0.12434302394376773,0.46196452348447714,0.3604485607683245,0.1775869157471983,0.09954111061767124
73,0.21799080918715624,0.506368911292049,0.27564027952079484,0.27341190783931285,0.4803348521961997,0.24625323996448745,0.18133980236003347,0.6536520877623353,0.1650081098776314,0.5024249787222552,0.2939337967183782,0.2036412245593665,0.6207483180715627,0.20990409001934301,0.16934759190909426,0.42244803859274566,0.4104175865512673,0.16713437485598714,0.09941190832583219
74,0.19003412355755067,0.582768157318186,0.22719771912426345,0.13597566370542885,0.7138740263882435,0.1501503099063278,0.23419157316604428,0.6492871520117419,0.11652127482221372,0.7538748477366618,0.1793094542069552,0.06681569805638289,0.6839143225035776,0.19844297185672882,0.11764270563969345,0.5216849196120683,0.37875607871215233,0.09955900167577922,0.09946780016696276
75,0.24710273144986397,0.5164468575349882,0.23645041101514777,0.3602108690601159,0.49746117735075646,0.14232795358912767,0.15378402534092764,0.6733899090157138,0.1728260656433585,0.6367674921871295,0.07206070441803968,0.2911718033948309,0.6578053407074113,0.225171836604047,0.11702282268854183,0.36278928611397443,0.4112736159684029,0.2259370979176227,0.09921941254106299
