Trial,SLIM_w_group_0,RP3b_w_group_0,ItemKNN_w_group_0,SLIM_w_group_1,RP3b_w_group_1,ItemKNN_w_group_1,SLIM_w_group_2,RP3b_w_group_2,ItemKNN_w_group_2,SLIM_w_group_3,RP3b_w_group_3,ItemKNN_w_group_3,SLIM_w_group_4,RP3b_w_group_4,ItemKNN_w_group_4,SLIM_w_group_5,RP3b_w_group_5,ItemKNN_w_group_5,SLIM_w_group_6,RP3b_w_group_6,ItemKNN_w_group_6,SLIM_w_group_7,RP3b_w_group_7,ItemKNN_w_group_7,SLIM_w_group_8,RP3b_w_group_8,ItemKNN_w_group_8,SLIM_w_group_9,RP3b_w_group_9,ItemKNN_w_group_9,Accuracy_val,Accuracy_test
10,0.023730514302561716,0.9418413124164983,0.03442817328094003,0.021414258532275347,0.217254159391895,0.7613315820758296,0.08121470017635644,0.440168893341258,0.47861640648238546,0.3745794327656285,0.4290259232543921,0.19639464397997952,0.10308017139296816,0.5108271918137411,0.3860926367932907,0.5243403170149604,0.21647464742680028,0.2591850355582394,0.4541953898014167,0.07650207434901682,0.46930253584956644,0.7755190663555507,0.21883204952527988,0.005648884119169479,0.3309840921984311,0.4034410660595086,0.26557484174206025,0.4860794355126637,0.402283183419482,0.11163738106785437,0.078173084155322,0.09826973122912086
11,0.015378419918054682,0.9603229935050395,0.024298586576905833,0.15439251716842256,0.19677660682042097,0.6488308760111565,0.06362556181358282,0.5633433777643032,0.373031060422114,0.6480382775965045,0.02839499102900782,0.32356673137448777,0.07953911912415773,0.5499087099026684,0.370552170973174,0.47672385814293167,0.22196630458916175,0.3013098372679066,0.619040061847669,0.07922162963391542,0.3017383085184157,0.6608524563290179,0.338844306588958,0.00030323708202420344,0.3293552387857921,0.42034402896356043,0.25030073225064753,0.5122624553122872,0.44595404699023417,0.04178349769747863,0.07803049689600924,0.09847581293761157
12,0.02520792525029166,0.9666064239139491,0.00818565083575928,0.05842192766859408,0.10100329573460294,0.840574776596803,0.09356716533277415,0.34773754627038644,0.5586952883968394,0.345118305076943,0.42829019521232814,0.2265914997107288,0.1399078055253787,0.526851364417359,0.3332408300572623,0.7614649890791999,0.10303735205114672,0.1354976588696534,0.3389672493398121,0.16463634055304463,0.4963964101071433,0.7875465957354033,0.21012764453220356,0.0023257597323932577,0.286934486461292,0.4677492101138026,0.2453163034249055,0.0003636348164871269,0.9862874734086606,0.013348891774852168,0.0768183019562233,0.0966285443623724
13,0.09729928435182351,0.6182538076954275,0.2844469079527489,0.009232578171085325,0.3065423048503961,0.6842251169785186,0.10097604880907066,0.4179717537045235,0.4810521974864058,0.7283704560826175,0.1731693732805289,0.09846017063685356,0.011427645129081029,0.6430398001507769,0.34553255472014216,0.47041005544278686,0.3051637578772895,0.2244261866799235,0.21124704103315156,0.2897679614287591,0.49898499753808934,0.26400765574366003,0.6933038799069825,0.042688464349357524,0.11045721073206222,0.528056525538679,0.3614862637292588,0.333022275997974,0.48223649838354815,0.18474122561847797,0.07716815243333486,0.09724438885903594
14,0.02405125750315762,0.8117914253175413,0.16415731717930093,0.4023336790559731,0.45720044774295177,0.1404658732010751,0.016541668459561783,0.2260926204992117,0.7573657110412265,0.2705264785546818,0.5984256420577703,0.1310478793875479,0.6355135240643827,0.2665219609354019,0.09796451500021543,0.3558613341628023,0.3811786217534854,0.26296004408371226,0.6740289270020949,0.0824810948488759,0.24348997814902917,0.5753573765761502,0.3782524677048838,0.04639015571896594,0.025318990407033712,0.5503296376248075,0.42435137196815875,0.5288064849079501,0.25419956954610795,0.2169939455459419,0.07753572404681316,0.09790104524109948
15,0.42903041239845124,0.07874604686834225,0.49222354073320657,0.1888010509125646,0.01950970592251715,0.7916892431649183,0.7268849149681448,0.0512321840729787,0.22188290095887644,0.40832974765244434,0.2860907381340017,0.3055795142135539,0.18296470937594395,0.5183873224880554,0.2986479681360007,0.42383112953924373,0.14378341287870183,0.4323854575820543,0.20642970820024453,0.6855840073481385,0.10798628445161693,0.3120146362210109,0.5780847264597996,0.10990063731918953,0.40329302009196577,0.3202317462826963,0.27647523362533794,0.26378403773571485,0.704697442860261,0.03151851940402415,0.07779119522888964,0.09699178612312462
16,0.12878469492448313,0.7823841069946144,0.08883119808090253,0.2745767611393474,0.39254849654263374,0.3328747423180189,0.07865257931684232,0.2448894813102366,0.6764579393729211,0.3231814058509321,0.5108446211408249,0.16597397300824304,0.4685860911032281,0.0193240043632757,0.5120899045334962,0.2443303142073584,0.4263368187588967,0.329332867033745,0.4144755942592753,0.22234642979824795,0.3631779759424768,0.6056845074641112,0.3574718366821577,0.03684365585373113,0.20689369898044313,0.5026634369366899,0.29044286408286696,0.4106041245972539,0.4527875029024111,0.13660837250033486,0.07761080567760806,0.09823185854287358
17,0.27509144074791103,0.43307017327274283,0.29183838597934614,0.6150424878260176,0.3834816975099338,0.0014758146640485848,0.09943562390296613,0.29798360321882306,0.6025807728782109,0.46534020535390436,0.5299406642429139,0.004719130403181798,0.2568432605306124,0.7283561745751309,0.014800564894256673,0.852141334543798,0.14614805840656614,0.0017106070496358198,0.36047099352500367,0.1901773711147724,0.449351635360224,0.2034905396312016,0.6386220587711725,0.15788740159762585,0.1966136673162134,0.5590820926989499,0.24430423998483672,0.4151938705600145,0.38359473269222333,0.20121139674776214,0.07705157184032069,0.09734519121584764
18,0.07489198607288741,0.7548359507031762,0.1702720632239364,0.2109584888941776,0.24711051903297623,0.5419309920728462,0.13755488031077143,0.14251254843101147,0.7199325712582172,0.011543459150791165,0.6990235750390338,0.289432965810175,0.3969822221525395,0.29022121186423006,0.31279656598323047,0.5552848396362022,0.22378773898006635,0.2209274213837315,0.5215334051917674,0.362126050090368,0.1163405447178646,0.7224093208130398,0.24631760078203008,0.031273078404930266,0.2813816803353808,0.4553603044799394,0.26325801518467984,0.7400455710599103,0.24557185377268723,0.014382575167402375,0.07789162028638687,0.09805197240352519
19,0.09478591608138952,0.9018324270569159,0.003381656861694571,0.01326316559809151,0.6097931186542034,0.3769437157477051,0.01719697522418762,0.14871203373704023,0.8340909910387722,0.3075595070708,0.4668537672387025,0.22558672569049748,0.003627378982202713,0.2321409517880703,0.7642316692297271,0.19516570157596583,0.40066235510930526,0.4041719433147289,0.3639422478869645,0.35383822456493363,0.28221952754810187,0.5519578830565692,0.4207302032333272,0.02731191371010359,0.09484963252532079,0.7271465334721624,0.17800383400251676,0.1713192974616965,0.46073830135117955,0.3679424011871238,0.0772348949551838,0.09698652428067957
