{'topK': 180, 'alpha': 0.37856296613742724}
topK,alpha,result
182.0,0.3648289189390257,0.14271216681924875
176.0,0.36968954179465796,0.14256407679027444
184.0,0.3806681052503389,0.14285245815098024
184.0,0.3824211968321191,0.14275973139392648
178.0,0.3958521823905436,0.14219121356423098
187.0,0.3802833262692082,0.14278408751142452
190.0,0.3580051749871921,0.14263289877820462
173.0,0.40105314964382555,0.1419017803830965
180.0,0.3872096957975251,0.14286893573716414
185.0,0.38753683089141,0.14292876335534685
186.0,0.3885795014322937,0.14294489265700888
184.0,0.3876443195612652,0.1425980182462612
178.0,0.38583924146388715,0.14281044127262194
187.0,0.379830311037289,0.14275555213218163
191.0,0.39443823134472017,0.14267424021951555
179.0,0.38846355670672067,0.14249124062690036
185.0,0.3771435700808571,0.14260772633902596
171.0,0.3697741362782914,0.1418302654285201
175.0,0.3987391982450819,0.14196875038746232
183.0,0.38366036105696677,0.1427401664267966
191.0,0.4026867735620681,0.14259879599990619
188.0,0.39105896338324087,0.14286766452642916
187.0,0.3904938672557125,0.14288431239435187
187.0,0.3934294991687328,0.1429178182931628
188.0,0.39116539786485865,0.14286766452642916
188.0,0.3920548745729928,0.14289610065220762
190.0,0.3934425845982481,0.14286870499665685
191.0,0.41210833505047756,0.1426314153334252
187.0,0.39373737327758146,0.14281983397065443
192.0,0.40910625063235845,0.14271367450734193
187.0,0.38992334057490147,0.1428026560378813
180.0,0.39594672665331976,0.14251304505648382
188.0,0.38897151334583707,0.1428853461656407
193.0,0.38651704504955453,0.1426193606638017
183.0,0.40343715624036597,0.14259511118060855
128.0,0.3974306547110052,0.14113132836055334
188.0,0.37367855751771073,0.14257415093446485
113.0,0.3855852032900757,0.13987519766414364
180.0,0.24759033528373828,0.1417162439424548
196.0,0.36229267027167855,0.14227511291674577
188.0,0.3929954252725354,0.14295369731369312
185.0,0.3906730558577207,0.14276026708655412
189.0,0.3799052746140743,0.1426588432524701
182.0,0.4002457075233878,0.14270387817629301
193.0,0.40747656849384517,0.14269322649641555
186.0,0.38731930595395225,0.14282982234272276
176.0,0.37406638800705017,0.14238318370506328
181.0,0.3920939980582106,0.14265560977849043
189.0,0.3801278583540045,0.1426588432524701
179.0,0.39686183458350777,0.14248423078155312
186.0,0.39000418391188174,0.142915034751502
185.0,0.3842756531308297,0.14274143201687642
