best -> alpha = 0.471097731898723, topK = 143, normalize_similarity = True
topK,alpha,normalize_similarity,result
140,0.4494478053138893,True,0.1378208521460815
136,0.44827878118705283,True,0.13787791646367178
143,0.5215521263172823,True,0.1373985590291475
147,0.4685430983815433,True,0.13808903259496785
137,0.4410264154095889,True,0.1376576889305775
95,0.6471031772673599,True,0.1323184311517814
206,0.4536363900816755,False,0.09977569938210312
57,0.5061904191206925,True,0.13372510858095993
168,0.6158405915289195,True,0.13507599541351148
129,0.5578959137584907,True,0.1362698193966578
143,0.3987486832499319,True,0.13798423047387096
108,0.4339589425116604,True,0.13634147867357033
148,0.3925859276923388,True,0.13755016061920775
183,0.4661968809922661,True,0.13672380141274382
81,0.4159278519918548,True,0.1354276960509335
130,0.30831167506315976,True,0.13628182525546634
159,0.5037030070138709,True,0.1367665155379895
231,0.5484224157192277,True,0.13428649632121192
773,0.3910280035862974,True,0.12156760878017621
190,0.6851445548336632,True,0.13458817816030788
141,0.44464473944692684,True,0.1381531246938159
147,0.4436826287250976,True,0.1378614319720556
108,0.45797633147837746,True,0.13598405489205034
167,0.3207048516132084,True,0.13713716098321088
118,0.4890997108310913,True,0.13607652488603275
152,0.3921873223261604,True,0.13753323062324813
210,0.247026824126784,True,0.13457117041079014
99,0.534843686915007,True,0.13485713964075008
436,0.4175557401643365,False,0.09302375686915552
40,0.293540509836834,True,0.1331089056128842
146,0.4440768044062376,True,0.13805686569404824
174,0.38641923851858334,True,0.13683690894554593
143,0.4726940318771416,True,0.13829784667855732
122,0.48625319334195993,True,0.13668645703602522
194,0.45401385088548224,True,0.13670424712703794
80,0.592728051393435,True,0.1333570062775683
153,0.5125041197679334,True,0.13688562940266422
176,0.33611882660285597,True,0.13632087553899924
125,0.5564380758157789,True,0.13598888932204178
96,0.43733837588736146,True,0.13579456381840732
135,0.39565479896228806,True,0.1373012879439804
147,0.4721455180129551,True,0.1382154004127944
155,0.48277957944856337,True,0.1372948989100035
114,0.44079593451920385,True,0.13667989824871787
173,0.359902181220902,True,0.13687600671415268
137,0.5152663639689324,True,0.1373557401606856
198,0.570795838844601,True,0.1363184261201471
157,0.4631380273069119,True,0.1374956246302383
70,1.0287183942883271,True,0.11599055651028298
96,0.4220241666090279,True,0.13582814565445342
144,0.3899702082356497,True,0.13807246261087533
137,0.3681730172601127,True,0.13705154488696722
115,0.3144598746235433,True,0.1366019820950679
176,0.876801396667406,True,0.12900782879887604
145,0.4267735610412783,True,0.13793933212803466
146,0.47257010810167355,True,0.1382078937891265
152,0.4854639468024283,True,0.1373889635218614
188,0.5329894046974399,False,0.10419061892470834
117,0.42453998461595366,True,0.13714216728200992
151,0.34542403991728726,True,0.1372686410395267
135,0.4734210014878456,True,0.1378061306418115
214,0.42586290846853836,True,0.13481079677050176
104,0.44988751130812965,True,0.1351630418391489
140,0.4941957044155736,True,0.13758600954104236
164,0.37394744369849336,True,0.1375897350962925
117,0.535499733297992,True,0.13607485170035297
182,0.2732844212715405,True,0.13553085413339908
144,0.7580592621357671,True,0.1326460927261574
127,1.188107351885547,True,0.11182693667158732
78,0.4180314774546259,True,0.1354492562329018
138,0.4666506911079543,True,0.13797714262406893
157,0.45725067800827884,True,0.13781396183526037
170,0.6189058660649516,True,0.13514123669917374
99,0.5001291241857555,True,0.13562028074273116
128,0.3956111286392096,True,0.1372341709560537
191,0.45534186305334345,True,0.13644390823152103
154,0.331111311903778,True,0.13717821140836978
137,0.5198775522811049,True,0.13735503313825045
112,0.5829198183249553,True,0.13534789138309272
91,0.37052731115408816,True,0.1361376990106889
155,0.4565181662498746,True,0.1378777474319724
