best -> topk = 21.0, alpha = 0.44678187654885787, beta = 0.18590730821636287, accuracy = 0.039264156656909785
topK,alpha,beta,result
23.0,0.3253859245096919,0.10987403713441306,0.03891072690305625
7.0,0.3785404185329666,0.07320361071616358,0.03198347008128
30.0,0.3608925556552098,0.15987748188736026,0.03900341028709906
39.0,0.35764514395880925,0.16913806961739647,0.03871531032250784
17.0,0.4208295674883472,0.15175012503346852,0.038641360686127564
33.0,0.39978714211969846,0.13929394199587097,0.03906713386878964
32.0,0.4490772695988925,0.13840799876531235,0.03881877252095325
44.0,0.40372587607925287,0.16275527734718895,0.03866087150179264
55.0,0.4300566957086357,0.09295003036740829,0.038373881062132235
37.0,0.4799634596621469,0.2038117628636915,0.03857028299695149
25.0,0.38585704506445506,0.14420641097533804,0.03902033755193191
32.0,0.3833423999053096,0.14494914465761913,0.038983739251227334
25.0,0.39745620316909586,0.13122332869568057,0.03903104426724138
25.0,0.39736979336305484,0.17044547848169248,0.03908646443672235
25.0,0.39850399694112854,0.13519064307166637,0.03903720873969238
26.0,0.40053634671108057,0.10839226678585581,0.03898104354625046
14.0,0.41590719826056566,0.1359863137793446,0.03820081119490672
42.0,0.39311286845963456,0.14838411206652863,0.038688737801234524
35.0,0.4054841274299537,0.17179712548775006,0.038849614910733785
5.0,0.42203642477348235,0.1298194828666969,0.02966756710422823
48.0,0.3851809317463186,0.10956286697444341,0.038539973339358075
26.0,0.4572940005593927,0.09283657166870189,0.038838067039339425
31.0,0.39830932788347706,0.158920305137347,0.0389430433187377
11.0,0.41107770369076135,0.1388748818109795,0.03723943387792241
38.0,0.4468245298508964,0.16103532967641807,0.03873327501317852
25.0,0.3861816400762516,0.1195528992374097,0.038971181992531065
31.0,0.4263098908970248,0.16978824014259233,0.03889233762883755
18.0,0.37076156724234693,0.15097042303578306,0.03900067052156542
137.0,0.37839068307265783,0.18146874331581958,0.035635745768985386
53.0,0.4029048959416277,0.1427855292742267,0.03829014197112566
16.0,0.3910337256358982,0.12813269889510404,0.03846419318711696
34.0,0.362119349578489,0.19565357001757272,0.03869641234913314
18.0,0.37101121345701327,0.15100967968138998,0.03898917472173813
26.0,0.4136304576006752,0.15706578359257617,0.038981592300458195
21.0,0.3449955154283015,0.16745622304536573,0.038879051368200974
10.0,0.37443781586107977,0.14416961366995643,0.037146045524970014
30.0,0.4260517307533169,0.1129381993559054,0.038888035716288856
40.0,0.3981505106811213,0.13505297082343112,0.03871926776161193
24.0,0.445190276110443,0.17773771521480367,0.0390859877816076
