best -> topk=21.0,alpha = 0.4029792567152519,beta = 0.19680626151757433,accuracy = 0.03931838484259118
topK,alpha,beta,result
21.0,0.40663070275733176,0.19595372016921914,0.03923609009917689
21.0,0.4054861799655075,0.19317654014180838,0.039218320005763814
21.0,0.4015223668652328,0.1981962261190658,0.03920808219068491
21.0,0.4089368615443293,0.19974133605483294,0.03917436704047953
20.0,0.4148779115969412,0.1947065910802262,0.03922923020275559
21.0,0.4131948686537584,0.19628306361619463,0.03913771422167843
21.0,0.40756549024795974,0.21181087657156217,0.0391950187706623
23.0,0.4051393895405838,0.19745425442996117,0.0390957703975864
21.0,0.42217466488877037,0.1956067808174456,0.0391572493176129
21.0,0.4208129165099257,0.19385264600443297,0.03915917841333929
21.0,0.4025008985008063,0.19849469609929712,0.03924225360004543
21.0,0.4067800835965038,0.19691901118537786,0.039250314178453934
21.0,0.4041966252788089,0.2076470433633167,0.03924016841566064
22.0,0.4018287367875013,0.19543121476806716,0.039184240648689084
21.0,0.41135444180161995,0.1991418143050338,0.03916554603014568
21.0,0.42373207979878436,0.1978279840702445,0.03911763481657632
21.0,0.43468778461124774,0.19660763578435358,0.03912314194462506
20.0,0.4057819274080595,0.20266256377708983,0.039107981333397816
22.0,0.40322651262267595,0.19451927051213327,0.039155472308271703
21.0,0.407833629763902,0.19630604006776817,0.039263421623482724
21.0,0.40446361524127006,0.19766124409234273,0.03924874128505049
21.0,0.4257787437400754,0.19548634403650222,0.03912089266703538
21.0,0.401397605242264,0.19704744782884884,0.039267039678538
21.0,0.40002522139647806,0.19874927697161515,0.039224159322495775
21.0,0.4101971408115731,0.193939855147683,0.03922754924797338
21.0,0.4063702139723123,0.19617874801800456,0.03927399963179143
21.0,0.4029223406455999,0.19765606174264458,0.03927462798869816
21.0,0.4050078911932159,0.1996752402897125,0.03922144978347757
21.0,0.40399878640352493,0.19247787611997746,0.0391982926302145
20.0,0.40723182467042324,0.19498504611411796,0.03922546406358859
21.0,0.41957334858901457,0.1965525941548212,0.039119864082799535
21.0,0.4031577187425327,0.19826068595075477,0.039218540130794885
21.0,0.405496583062927,0.19556607668872775,0.03923203579633287
21.0,0.4371822397834167,0.197133273556671,0.03906285169976593
22.0,0.42951591512484316,0.1940638145056457,0.039082350775240846
21.0,0.4017116118213969,0.19617187651556714,0.03927595674343085
21.0,0.4416998611075591,0.19510976775693248,0.039052942071096886
21.0,0.40883667313258226,0.197410007797886,0.03926604311248848
21.0,0.40468834492374645,0.19854758967514397,0.03922156985167634
21.0,0.45407029625121825,0.20153208998777508,0.0390460341473962
21.0,0.40653283178590005,0.19673165822158328,0.03927836611195217
21.0,0.41225819937709646,0.20594891080019112,0.03919158482017839
21.0,0.4029444057400937,0.1874051845591524,0.039104511362454415
21.0,0.40133895606251135,0.19574055557046585,0.039234577239872795
21.0,0.4079872918461973,0.19463773991082312,0.039197476166463095
22.0,0.4043895698738304,0.19944192142496453,0.039127144217916375
25.0,0.40612859911115373,0.19780214124819867,0.039003165798173825
21.0,0.40246236104545247,0.19332511667210883,0.039185133155632955
20.0,0.40387121435309603,0.19640768658288701,0.039169928519399516
21.0,0.41003305838935306,0.19028326938146348,0.03910689671733599
21.0,0.40008887583282293,0.2005095782446173,0.03919129265422818
21.0,0.40575071786777056,0.19711899581955006,0.03928113568506967
21.0,0.4075722805217948,0.19536082349619982,0.039216054719080996
21.0,0.40263765704048193,0.19823730404078915,0.039230174739252485
21.0,0.40484847181820377,0.19607094849053752,0.03929656044633409
21.0,0.40867928166471795,0.19623161768078118,0.03922040519014855
22.0,0.4054867394818868,0.19438001754947656,0.03917595994524951
28.0,0.40693380121514816,0.20361406491529488,0.038869021604271775
21.0,0.4014274055964141,0.19561713932126937,0.0392315235053516
21.0,0.41383809459502874,0.18313880274162458,0.039068687014224564
20.0,0.4309924695562674,0.19477213315767297,0.039164505439089836
26.0,0.4044112052807188,0.1931102212437131,0.03906325993164171
21.0,0.40523060484280193,0.19780464876771492,0.03922586429091783
21.0,0.403462249615457,0.196375995388333,0.03930063876281787
21.0,0.46356588103400526,0.1964797226331615,0.039003582034596106
21.0,0.40700869275258544,0.19908403414548356,0.03921236062083321
21.0,0.40999906914369577,0.1954500077360553,0.03919334582042656
21.0,0.4034223684368415,0.19382241947948645,0.0391958752571466
21.0,0.40498219046914447,0.19719038518154977,0.03927544845472284
21.0,0.40169093784321597,0.19579036338367442,0.039248793314603264
20.0,0.4082933727449845,0.1982817933806122,0.03919784837787904
21.0,0.41941426650927255,0.1947588750718855,0.03915736938581166
21.0,0.4064022936625461,0.19672966529251465,0.03928274459893277
21.0,0.4254391808929159,0.17952385361924228,0.038952585068319306
21.0,0.4171652150449004,0.19757009915203416,0.03916515780963639
24.0,0.42237210104819545,0.19195756396964386,0.03912045241697333
21.0,0.4035608742046154,0.1958523505509816,0.03927638898894628
22.0,0.4024375887636037,0.19967118673913173,0.03913535688270999
21.0,0.40510331701353075,0.196476284823331,0.03931261756677851
21.0,0.403725008816901,0.19457184986193735,0.03922917417092964
21.0,0.4001969640999406,0.19611119189566154,0.039266319269345595
21.0,0.41182740878316487,0.19865549967208254,0.03920253103762993
21.0,0.406356075577826,0.19308035411856167,0.03921677512827338
21.0,0.40865935440057927,0.19536328912833562,0.039211492127528995
27.0,0.43764917373428325,0.19754905726501715,0.038884850595138576
21.0,0.4279082054015065,0.19647131733952905,0.039148816527788274
21.0,0.43986856751083986,0.19435001698433577,0.03905106100264998
20.0,0.40486696385776133,0.21123083319058997,0.03915122189403631
21.0,0.40192385493497906,0.1978905603029376,0.03925133075586993
21.0,0.4070208020386962,0.195958715423053,0.0392330723851153
22.0,0.40372435764540404,0.19722732843118748,0.03917814518646653
21.0,0.4057028028522083,0.21384351583270184,0.03920298329451189
21.0,0.4241965112844133,0.19513981291226554,0.03913983142424949
21.0,0.4024860236513135,0.1987893096416364,0.03921481401436076
21.0,0.41058127139906464,0.19650296531346664,0.03922943832096686
21.0,0.4010977676364681,0.20060090116189588,0.03921280887544183
21.0,0.4182850642660323,0.19369105773158607,0.03917471523825585
21.0,0.41633334140885137,0.17059393263099373,0.03900059633872097
21.0,0.4281119651405315,0.19710974352120214,0.03916769124862971
21.0,0.40463330745352466,0.19517704359967944,0.039237951156257306
21.0,0.4080692897084809,0.19810653980657084,0.039223230795092184
20.0,0.40578926497854567,0.21540235739912364,0.03913134660487205
24.0,0.4033908840998387,0.19616476169868227,0.03914054382889539
22.0,0.4070294081699292,0.19920872640000137,0.039143325408832835
21.0,0.41561953571853066,0.1949410830053303,0.03914198864955347
21.0,0.4441572517247108,0.19688847797596118,0.039068154711876794
21.0,0.4504283383371802,0.19784139695045408,0.039056920330748326
21.0,0.40924029503980075,0.20179884605767318,0.03913246724139366
21.0,0.4000042184864654,0.19420479413749084,0.03918176324152172
21.0,0.4044207068696664,0.19562958271246894,0.039276749193542494
21.0,0.4024290409491894,0.19239345039187397,0.039173902776777764
21.0,0.4358254260549109,0.19653639986623636,0.03909980869133718
21.0,0.4062011168368742,0.19844417199516665,0.03920518054254877
21.0,0.40401068997847045,0.20894207405856446,0.039198532766612004
22.0,0.4016420015552657,0.1909691884658667,0.03917969406623019
20.0,0.40523801777133855,0.20492432010759867,0.03912896124999049
23.0,0.4220456786612581,0.19588329275881255,0.03906378022716958
21.0,0.44184514233619987,0.1971132890520735,0.039019723202779626
21.0,0.4333159305991352,0.1999941108401814,0.03907837651786262
21.0,0.4075675810220772,0.1934845336172625,0.03925638562703668
21.0,0.43343028613824836,0.19495721518445902,0.03915006523705515
21.0,0.4030703965516511,0.19751157832589206,0.03926868861513399
21.0,0.42367921437877654,0.19606805962718865,0.03913028200017658
21.0,0.40511538170416705,0.21790504609942887,0.039236762481089864
21.0,0.40967981606049936,0.19673388627329091,0.039227805393464044
21.0,0.41304277333782075,0.19419027731863028,0.039188967333445936
21.0,0.4209227018269729,0.1984479556572576,0.03910983438593173
22.0,0.4016930456390634,0.19558926203895136,0.03919766427330785
21.0,0.4068618939503425,0.19766871092362823,0.039253888208503
21.0,0.4039379420177921,0.19919929272849357,0.03921668707826103
21.0,0.4033829313813176,0.20308343477031005,0.03916208406374876
20.0,0.43083715313852294,0.19654934474054409,0.03919159282472487
21.0,0.40562167262236626,0.1950793625642494,0.0392490454578206
21.0,0.40812159267714165,0.18463652070364467,0.0390959985271639
21.0,0.42663650593101515,0.18895547299748294,0.03912285778322138
21.0,0.4011227720533741,0.19726866709978963,0.03927414371362995
21.0,0.4027526942259685,0.21219851677730975,0.039184496794179666
21.0,0.4047459725046501,0.1959640844007036,0.039272738915704694
21.0,0.4110387737212138,0.1942244967293868,0.039205540747144906
21.0,0.4154470431621279,0.17450778176393061,0.039002009141192756
21.0,0.406904083362629,0.19826389672818756,0.03923633423784768
21.0,0.40282781418521857,0.1968711539116321,0.03930258386763741
20.0,0.41809358265706487,0.19163234249664568,0.039125551313146344
21.0,0.40009648823296035,0.2048464323876705,0.039195543068463436
21.0,0.402160059271962,0.19525740107233605,0.03923775104259272
21.0,0.4769334443919242,0.21627330291435143,0.038889353152591226
21.0,0.43530415839532244,0.19274271196796114,0.03906534911829969
21.0,0.40336536114171334,0.19016721441902396,0.039153871398955147
22.0,0.458854805578813,0.19648906535514343,0.03904829543180572
21.0,0.4059924631141724,0.20402415817298614,0.03914735169576372
21.0,0.4020133826884172,0.1977463849065509,0.039254464535856966
21.0,0.44390453262795976,0.1995067182818126,0.03905063275940779
21.0,0.4722444723335922,0.2066806927387091,0.03885522977051013
21.0,0.4085151491145701,0.19496152807853867,0.03921059161603846
20.0,0.449171602032796,0.19599119394725173,0.039048731679594405
21.0,0.40396536909246,0.19713944530171706,0.03928376117634875
21.0,0.40560184454446074,0.2012745079758028,0.03915602462198585
21.0,0.42954120562179415,0.19403724411688322,0.039134380328026845
22.0,0.4017498780109779,0.19862027293738826,0.03921300898910645
21.0,0.41260964756300095,0.19597231751772365,0.039157393399451394
21.0,0.4367623885035497,0.19725167321634698,0.03904955214561917
21.0,0.4041459564238965,0.19811763746720915,0.03921852812397499
21.0,0.40744198277313426,0.19520607790613634,0.03921130001841102
21.0,0.44721416075394527,0.1964448447701016,0.039048855750066495
25.0,0.40003502556508036,0.193542527672721,0.03912101673750747
22.0,0.4031233246446497,0.1971539950542671,0.03917169752419436
21.0,0.4413613089444548,0.20014460386702126,0.03905771678313329
21.0,0.4327592807154108,0.1947852795730968,0.03916170785005934
21.0,0.4057602888030186,0.19565458863347046,0.0392394680178347
21.0,0.40888409634576695,0.18116449383670394,0.03904960017289873
20.0,0.40469686612879907,0.19877732860648606,0.03915811781091703
21.0,0.4026244800705969,0.19649976940601555,0.0392952436984213
