topK,alpha,beta,result
17.0,0.3471846199547786,0.20991917025613324,0.03863910251169167
21.0,0.339555896787523,0.20766679341685598,0.039074784814104695
19.0,0.36247272021926574,0.2066684893383945,0.038917902312257065
20.0,0.35150542400114904,0.2047362676677319,0.03906411569778977
20.0,0.35618364276996073,0.20234254580645838,0.03901905050475964
20.0,0.34971518673071694,0.20586228984722263,0.03907142616666978
20.0,0.34255217613633276,0.20369748314882846,0.039090892694822264
19.0,0.34320968871258933,0.20351946549948274,0.039011703964487096
20.0,0.3399829413416098,0.20781128233125196,0.03907734989090471
21.0,0.332463413221916,0.20878187759508043,0.03906731001999217
21.0,0.3459572667053864,0.20707823689031774,0.03905341852594717
20.0,0.3480371902295482,0.20500817435679433,0.03906781902741976
22.0,0.35386815607975614,0.20327353767825357,0.03897351237569455
19.0,0.33696379982781527,0.201591694815329,0.03894715220364201
20.0,0.35910966560119295,0.2042779118063674,0.039024954189332224
20.0,0.35153202209250356,0.2021819058249135,0.039044344566767204
16.0,0.34263473135590045,0.2039484290573209,0.038753412754524354
20.0,0.35055059140013334,0.20566632051451544,0.03906876489948977
20.0,0.3449051567132066,0.20795640717750638,0.03905567899987721
21.0,0.3484992208826337,0.20670023641716184,0.03904603591428212
19.0,0.35591497446386616,0.19892224075858111,0.03891493243427451
20.0,0.33896468803397406,0.2045835603184907,0.03907263656228473
20.0,0.36004214697938264,0.2057238337368335,0.03907654429647229
21.0,0.3648641216520154,0.20924707888895247,0.038881959173596964
21.0,0.3534568423285014,0.2082578204539379,0.038961965522162016
20.0,0.34967420118309334,0.2085248976045519,0.03909983840016229
20.0,0.3450636381228122,0.20943590380134008,0.03907763846204474
20.0,0.34919388674616786,0.20717868838758394,0.03908902099034474
20.0,0.34779362308435735,0.20727929443866183,0.03907037208042219
19.0,0.3574260933052943,0.20859511034736228,0.03889103714070952
20.0,0.34208582404364274,0.20705177334001038,0.03909272031204224
21.0,0.3409234343931396,0.20999902788182284,0.03897334003459708
20.0,0.3429712039107184,0.2082264839519702,0.03905435638215219
18.0,0.3373932730783707,0.20624576057644337,0.03874531272294173
19.0,0.35304711494625324,0.20782301673657394,0.038963857266302145
20.0,0.34934025119315987,0.20697430229762045,0.03907868453242723
20.0,0.3468767686058904,0.20708955541952442,0.039041763458237184
20.0,0.3514189701979122,0.20601579255954874,0.03908341389277726
20.0,0.35473525146942786,0.2087944827163144,0.0390945198737348
20.0,0.35504986556323914,0.2089035132403456,0.039086688373629795
19.0,0.3613130739235718,0.20962605162358397,0.03887028005829204
20.0,0.3578690501678418,0.208548221746084,0.03904534254195975
