topK,alpha,result
35.0,0.2712765290867999,0.038403292862664286
29.0,0.25049795201105746,0.038378632798685634
30.0,0.2317891549186032,0.038518839904816755
33.0,0.2642355838000722,0.03851330699299305
28.0,0.21133377389130156,0.03828327308340464
32.0,0.24595562274810676,0.03861832429984509
32.0,0.24490055546676395,0.03863550313091645
34.0,0.2480795043316642,0.038414670737738035
32.0,0.25552936004606625,0.03860653835752183
32.0,0.2568363278378152,0.03861111911243024
36.0,0.2718504514762703,0.0383158744561108
33.0,0.26409102967956144,0.03850081693463143
32.0,0.21911582758661777,0.03857314885493171
35.0,0.24533578517784085,0.0384245403642525
34.0,0.27458901576714745,0.03838928255376545
29.0,0.24526813140085413,0.03840192463718061
32.0,0.2602188935255443,0.03858866741239007
32.0,0.25400455990762283,0.03860796659289501
30.0,0.25277242961623475,0.038469323744553516
31.0,0.2328599652337652,0.03857113652329946
32.0,0.2673678612653555,0.03855273749113909
33.0,0.22280908279382677,0.0384880148248436
30.0,0.24545962729319448,0.03853149399020998
34.0,0.28815919045433025,0.03837775265363787
33.0,0.25285559118059414,0.0384975123900424
31.0,0.23274239219306134,0.03856095484535892
32.0,0.25778611344713104,0.038604750062810854
31.0,0.25511890745001436,0.03863385885994054
31.0,0.23998195438752,0.038583294526938476
29.0,0.26178290300534374,0.03836924325128823
30.0,0.2729612729616564,0.03843171354639294
31.0,0.24401494430987228,0.038622196938055846
31.0,0.22669962804056432,0.03854951295973619
30.0,0.24396714930458493,0.03854857280479863
52.0,0.23584388686445135,0.03798978871718099
33.0,0.21517431662584335,0.03850112898605736
31.0,0.24935345788264587,0.038635035053777314
31.0,0.24827539887938369,0.03863283469115753
30.0,0.24052849986139904,0.03857687346874806
28.0,0.25035495270185143,0.03843179756023835
31.0,0.2295578064091377,0.038524132777082096
29.0,0.2658140650579215,0.03838784631707348
27.0,0.2446316433469876,0.038374812169045945
30.0,0.22444111202697536,0.038484658271683576
31.0,0.2329788595930816,0.03857160059977926
29.0,0.27657576827316943,0.03844493972606734
32.0,0.25968576796531484,0.038589383530406314
33.0,0.2521105303917376,0.03849133537206983
31.0,0.2430813810887135,0.038632934707640273
31.0,0.2401291946853179,0.03858480677615715
31.0,0.22003423239327505,0.03852683322211543
33.0,0.2669480465396307,0.03851445118155533
32.0,0.24758201222710707,0.038610795059026204
34.0,0.23491921770948757,0.038438374644141814
30.0,0.2513742567277371,0.038466651304135326
32.0,0.24434197487762863,0.038642172229983986
32.0,0.2428282833859261,0.03865290599890908
31.0,0.23892104890344518,0.03857068044813827
32.0,0.2294891283144883,0.03860178157360381
30.0,0.24565737976641402,0.03852555701179594
32.0,0.26162469753335293,0.03858739920338925
29.0,0.2434500695568081,0.0384084817177875
35.0,0.2322748484910013,0.038421051789335386
31.0,0.22302500396779473,0.038532002073942216
33.0,0.20820087073263893,0.03848425820575277
31.0,0.2506646406338484,0.038661939487628014
31.0,0.24996199689169776,0.0386576347782119
31.0,0.24875798570233457,0.038632130575119224
30.0,0.2524894866026682,0.03847378047902335
31.0,0.25865685533945265,0.038602621712058596
29.0,0.26786185459051726,0.03840604531626855
30.0,0.25048970392194336,0.038481089683580265
31.0,0.23752602800807404,0.038593776254327125
30.0,0.26094924884481796,0.038446547991109345
31.0,0.24261812398542343,0.03862462533825619
32.0,0.2709201412069468,0.03852822145089569
31.0,0.24131736991175853,0.03862058467235445
31.0,0.24978918125326685,0.03865401418153757
30.0,0.2533027063109819,0.038471296069592695
32.0,0.24972854368879335,0.03859348420619766
29.0,0.23659367142535054,0.038379909009005134
33.0,0.257282360253734,0.038484878307945725
31.0,0.22986671024753905,0.038527801381668135
30.0,0.24669704641905907,0.03852968569220248
28.0,0.2631392781105018,0.038434586019776465
32.0,0.28144706603738956,0.038518823902179686
31.0,0.242772687946538,0.03862953414722792
31.0,0.2430820941425403,0.038632934707640273
31.0,0.2513779276691752,0.03867205315436027
33.0,0.25588559543076106,0.038490423221747505
31.0,0.24971467530160327,0.038651381747712474
32.0,0.2521793882327551,0.038609606863211555
30.0,0.26735987662167626,0.038481781797640696
31.0,0.23505329320702162,0.03857319286218407
29.0,0.26153108643409917,0.03838518187797389
30.0,0.22703519325846871,0.03851879989822366
31.0,0.24875594753563468,0.038632130575119224
31.0,0.2494128596729768,0.038635035053777314
