best -> topk = 48,alpha = 0.30190506275582196,normalize_similarity = True, accuracy = 0.03896218506271113
topK,alpha,normalize_similarity,result
35,0.10916795158993683,True,0.03859159274073907
29,0.07971015463822956,True,0.038181586627710616
115,0.00534437005164301,True,0.03666033302367108
5,0.10645496170210784,False,0.024762225655786747
185,0.10313542608805878,True,0.03539818117347712
649,0.16988419908678712,True,0.028253523013707114
28,0.051359322041654706,True,0.038073954808515005
47,0.10217714044819073,True,0.03844230087331313
103,0.0028424031386691806,True,0.03672984264968531
44,0.1345983844443187,True,0.03861819885473023
40,0.11267476282217156,True,0.03854702860287661
415,0.1361081290910922,True,0.030771412847628594
154,0.2694948179784408,True,0.03615837877992961
39,0.3106549670223423,True,0.038663613361379835
228,0.3105670360871766,True,0.034604911441311295
109,0.410705841870008,False,0.023384652287411815
32,0.12610922112699025,True,0.03854459382054699
32,0.17021558981519752,True,0.03857873692959146
31,0.2334953154247556,True,0.03872882300937537
479,0.32313183562476755,True,0.030388430010637832
94,0.23809588327595796,True,0.03741933128923972
818,0.17346031636803183,True,0.02719441275617372
192,0.37381493874336535,True,0.03559476477676251
31,0.28977433950838705,True,0.03878640340532635
126,0.29987854234990263,True,0.036890056942619646
92,0.4380630367106494,True,0.037481263808465275
27,0.21166141659194018,True,0.03854278478128717
31,0.144525872153997,True,0.03860535908827674
72,0.2517570802776611,True,0.038024962335081035
17,0.3728702989856513,True,0.036949330053798274
155,0.15267764683758833,True,0.036049178591885896
88,0.2709134881623164,True,0.03746982394157193
46,0.2089873127384997,True,0.03868466400003893
7,0.19673608311686683,False,0.02547409263243692
132,0.356094305556563,True,0.036722795017801874
69,0.3217653919480669,True,0.038163652670880406
50,0.15330820447699986,True,0.038600309020808854
51,0.15701072147134051,True,0.03860131582536363
48,0.221744683009376,True,0.038768417303240314
98,0.23621922404319823,True,0.037283240193884466
63,0.28073352305240784,True,0.038249965102790766
174,0.4499666210726121,True,0.03595464325424932
50,0.21106647318660587,True,0.03874124561378223
83,0.394240412096104,True,0.03773300505889244
6,0.31359341986592015,True,0.027905148581889822
122,0.21199007189917796,True,0.036711094424629685
53,0.16403802955936875,True,0.03858209428183195
49,0.248322212630599,True,0.03877145376159881
105,0.25308207705795327,True,0.037181484743902905
74,0.34006161720400574,True,0.03809359752526685
146,0.21689690365635828,True,0.0362603989673638
22,0.05859648531168363,False,0.022270653131362724
54,0.545707836833861,True,0.037920695890473005
40,0.2892253724351964,True,0.03856554417986784
