Try 2 with higher cutoff.
best -> 0.4228623157708209 and parameters: {'cutoff1': 231, 'cutoff2': 116, 'cutoff3': 229} (SLIM was 0.4153408133492012)
cutoff1,cutoff2,cutoff3,result
238.0,120.0,225.0,0.42152988325481583
229.0,115.0,231.0,0.42246857487895034
230.0,116.0,230.0,0.4228111599016945
226.0,115.0,227.0,0.4218194620940853
235.0,110.0,150.0,0.42192694306118245
244.0,127.0,231.0,0.41968494764615966
223.0,115.0,224.0,0.4213261691890871
231.0,119.0,233.0,0.4227420975140737
234.0,104.0,231.0,0.42213438232595546
240.0,110.0,224.0,0.42100498313218165
215.0,123.0,234.0,0.4208600000185682
230.0,118.0,236.0,0.42254867446363276
231.0,116.0,229.0,0.4228623157708209
233.0,129.0,236.0,0.42231982074025404
237.0,120.0,228.0,0.4219477007376854
226.0,112.0,226.0,0.421523502166252
231.0,117.0,220.0,0.42260866247064466
243.0,107.0,220.0,0.41976343813870765
223.0,116.0,236.0,0.42151674131353406
236.0,123.0,134.0,0.42150476446051294
130.0,111.0,221.0,0.4143259253693219
231.0,120.0,229.0,0.422750434072812
231.0,116.0,232.0,0.42285957333401275
233.0,125.0,232.0,0.42231828596316895
239.0,119.0,238.0,0.4214113116335757
76.0,129.0,230.0,0.4084722685339271
225.0,116.0,235.0,0.42164640283197224
233.0,109.0,227.0,0.4224357533853373
219.0,102.0,239.0,0.42023881147773434
230.0,124.0,223.0,0.42208956137122916
239.0,113.0,231.0,0.4216106294778439
230.0,117.0,218.0,0.42262278242792384
226.0,119.0,218.0,0.42198776440329916
235.0,115.0,235.0,0.42267803276511196
237.0,107.0,234.0,0.4223355707544765
233.0,113.0,239.0,0.4223922864406573
243.0,121.0,229.0,0.42011861700675024
230.0,117.0,234.0,0.42265727949675114
236.0,131.0,224.0,0.42196670608213543
222.0,109.0,231.0,0.4210812820572965
226.0,125.0,241.0,0.42178496960539563
230.0,116.0,235.0,0.42274523508184714
233.0,49.0,234.0,0.4190087749991911
229.0,114.0,49.0,0.42099507291374344
239.0,118.0,229.0,0.42155880892294384
234.0,112.0,236.0,0.4224138325170239
226.0,122.0,242.0,0.4219759293102583
245.0,116.0,226.0,0.4197746845435821
231.0,107.0,233.0,0.4226102117543132
239.0,105.0,231.0,0.4215187214086964
