collaborative item-item + log/outliers + hyper_param 4 optmization
range: topK: [5, 60], shrink: [50, 250], asymmetric_alpha: [0.25, 0.35, log=False] 
best -> similarity: asymmetric, accuracy: 0.08269473320523577 topk: 28, shrink: 152, asymmetric_alpha: 0.27865510251072656
trialid,accuracy,similarity,topk,shrink,asymmetric_alpha,normalize,tversky_alpha,tversky_beta,normalize_avg_row,similarity_from_distance_mode
78,0.0835541591078025,,33,137,0.2780569332327263,,,,,
79,0.08361785021831968,,27,146,0.27891443058260157,,,,,
80,0.0834266255990615,,33,154,0.2775391584414034,,,,,
81,0.08362258846242235,,27,145,0.2831089853171205,,,,,
82,0.0835925780371238,,27,145,0.2794747473167365,,,,,
83,0.08362103994965549,,27,162,0.2880050024855815,,,,,
84,0.08333348804094202,,27,161,0.28396226538358216,,,,,
85,0.08340706818375089,,31,147,0.28027990107760165,,,,,
86,0.08319656902995404,,26,152,0.2732794070665582,,,,,
87,0.08323092782288993,,30,159,0.28941447276197957,,,,,
88,0.08336628276454784,,27,145,0.2754665082574899,,,,,
89,0.08369923597148854,,23,165,0.28457000770688723,,,,,
90,0.08379134732536025,,24,163,0.2831866178694628,,,,,
91,0.08358629335765698,,23,166,0.2837616024499706,,,,,
92,0.0833463675757702,,23,164,0.2874977419604388,,,,,
93,0.08354333199766785,,21,167,0.2836685630841082,,,,,
94,0.08355886853222969,,25,173,0.2907209764206081,,,,,
95,0.08369124500029668,,24,153,0.28503203706720937,,,,,
96,0.0834244170929326,,21,151,0.288817674837222,,,,,
97,0.08366108231978235,,25,156,0.28518121464987395,,,,,
98,0.08356175567224225,,25,156,0.2859255671362615,,,,,
99,0.08325455470274093,,30,162,0.2879388918250419,,,,,
100,0.08311503184932253,,24,138,0.2824939500053094,,,,,
101,0.08349175377103932,,27,155,0.28546276836991746,,,,,
102,0.0832042675689828,,29,146,0.29138331201270984,,,,,
103,0.08277510680258063,,19,178,0.27728745201933386,,,,,
104,0.08367709927008361,,26,151,0.2812713760214844,,,,,
105,0.08340868314586918,,32,171,0.281627146181709,,,,,
106,0.08360328810579563,,25,151,0.2845479106140348,,,,,
107,0.08339607106182423,,22,159,0.28925314475315095,,,,,
108,0.08325489747624347,,26,185,0.2933725904741881,,,,,
109,0.08317543603220202,,20,141,0.2866598274696181,,,,,
110,0.08306773375408628,,24,137,0.2819079095072544,,,,,
111,0.0835922266683383,,25,150,0.28412938923429426,,,,,
112,0.08353506309505743,,23,151,0.28512811014348416,,,,,
113,0.0833320417593947,,31,159,0.29155853853386576,,,,,
114,0.08345949260178988,,29,163,0.278425843532502,,,,,
115,0.0832997665170621,,28,177,0.28096522954971914,,,,,
116,0.08367263794268268,,26,169,0.27578662220150374,,,,,
117,0.08376857802378711,,26,169,0.2753808811286734,,,,,
118,0.08362470677297809,,26,169,0.27475979656515354,,,,,
119,0.08314417892968547,,21,169,0.2725365700533966,,,,,
120,0.08370073857052979,,26,186,0.2747439752868,,,,,
121,0.08360941087319165,,26,185,0.27607879399694596,,,,,
122,0.08319108561266977,,23,172,0.27108118032593986,,,,,
123,0.08326300680144348,,22,204,0.27462267254934203,,,,,
124,0.08330593220965199,,24,164,0.27516328709937105,,,,,
125,0.08352389277351112,,26,168,0.2720792572520648,,,,,
126,0.08339006001986811,,29,175,0.27045158281237475,,,,,
127,0.08368944955184401,,24,182,0.2763750719853533,,,,,
