collaborative item-item + hyper_param 2 optmization
range -> similarity = "tversky", topK = [1, 1000], shrink = [0, 100],tversky_alpha = [1.6, 3] tversky_beta = [1.5,3]
best -> 'topK': 36, 'shrink': 29, 'tversky_alpha': 1.741341923073262, 'tversky_beta': 2.9148336121214324, 'result'= 0.08971920329907228
topK,shrink,tversky_alpha,tversky_beta,result
68,0,1.613595395,2.792174612,0.084700622
43,11,1.708869407,2.864383444,0.088448386
53,21,1.729844152,2.899991349,0.088559009
130,26,1.766455386,2.932371157,0.085592154
42,21,1.855945184,2.835635482,0.088744854
45,23,1.854582059,2.807911514,0.088525334
181,24,1.863574791,2.807678588,0.084932757
41,31,2.008112588,2.691035792,0.087635916
36,30,2.033081539,2.667883239,0.088053049
593,23,1.822022664,2.637037394,0.083014165
40,32,2.049102119,2.72792865,0.087756593
3,32,2.075572481,2.855584325,0.078250929
43,8,1.858952838,2.732462522,0.087542162
243,28,2.027806502,2.834093055,0.084339402
125,22,1.964168097,2.661922195,0.085383912
33,9,1.762191093,2.777719133,0.088325551
110,8,1.763811855,2.950206947,0.085687536
182,11,1.844448096,2.852813643,0.084987986
43,3,1.66553698,2.785458279,0.086916699
2,16,1.792705927,2.956126274,0.072600657
40,9,1.947276882,2.736248792,0.087460055
150,26,1.755594605,2.790438215,0.085270451
44,35,1.854259182,2.600987678,0.087971486
111,38,1.842789065,2.621428492,0.085469526
29,46,1.602465175,2.569931711,0.088077531
151,42,1.605249395,2.441032655,0.084380929
847,21,1.681997754,2.56745576,0.082410067
214,47,1.733271098,2.678792045,0.084011276
1,16,1.662703678,2.854712274,0.060153872
102,25,1.783525877,2.76394903,0.086156275
46,34,1.73029907,2.63639179,0.088308271
52,29,1.711930407,2.687260309,0.088196154
63,34,1.635412663,2.709178263,0.087632949
122,42,1.716634992,2.994716699,0.085167161
101,28,1.636743633,2.894587644,0.086526947
29,17,1.676362075,2.756034385,0.0888101
168,17,1.701482568,2.83476644,0.085163406
321,21,1.730063286,2.91515606,0.08369436
683,11,1.801864393,2.942469132,0.083104183
62,0,1.68487292,2.7664341,0.084863919
22,6,1.642613141,2.642816508,0.087356271
21,15,1.753309136,2.814423762,0.088613267
91,15,1.759314669,2.818344123,0.086619817
62,19,1.8196029,2.873366617,0.087809642
17,10,1.73921172,2.760044451,0.087728908
55,23,1.690624818,2.702699617,0.088004934
133,13,1.778125432,2.814219516,0.085739406
87,18,1.88707572,2.8760138,0.086671224
31,6,1.812711728,2.7778593,0.087204678
476,26,1.713850347,2.729748251,0.083026488
18,60,1.630804911,2.701730718,0.08811664
17,57,1.665467202,2.840426735,0.088330218
87,62,1.665005005,2.844175194,0.085355064
58,56,1.740474041,2.91352481,0.086782282
123,20,1.783497475,2.800393275,0.085830054
4,29,1.690253607,2.962776966,0.082065952
27,14,1.753654495,2.754612782,0.088653771
24,51,1.833759999,2.874673777,0.088346186
79,13,1.888147804,2.925939879,0.086676188
27,65,1.925158181,2.88889162,0.087881794
24,54,1.835403337,2.830472628,0.088299101
99,15,1.754026135,2.869310839,0.086543618
2,51,1.81783538,2.784029746,0.072950824
49,10,1.776365972,2.747725069,0.08776344
70,3,1.866987411,2.821535229,0.085283795
28,58,1.655168564,2.970045894,0.088580441
23,58,1.661337858,2.96783565,0.088831903
23,57,1.648729173,2.965377268,0.088881871
106,54,1.607420184,2.99905606,0.085340273
146,58,1.661490526,2.95606013,0.084304289
18,58,1.641353442,2.968053517,0.088634523
74,61,1.630167304,2.967217049,0.085967521
1,65,1.691257737,2.932866421,0.06130801
31,49,1.645307291,2.901055463,0.088669651
48,63,1.601555009,2.970741025,0.087812784
85,90,1.650351953,2.901505194,0.084598343
33,70,1.62825207,2.931917113,0.087953291
116,59,1.714334855,2.996910434,0.084576443
57,49,1.679957347,2.901932318,0.087319294
66,100,1.646990987,2.958951692,0.084883234
993,53,1.741976766,2.871273376,0.080839372
18,49,1.707584226,2.93890948,0.088924344
23,45,1.70042534,2.925065642,0.088848021
1,47,1.677625772,2.936240692,0.061542502
23,45,1.716739339,2.984134435,0.089053876
21,39,1.704170898,2.977585567,0.089413306
19,43,1.703711457,2.99784198,0.088956713
15,41,1.706687753,2.995110863,0.088080453
84,44,1.621088231,2.939765645,0.086548857
29,44,1.762062126,2.976132567,0.088659441
45,45,1.752702839,2.980469349,0.088341781
25,39,1.715388585,2.998539752,0.089375449
28,38,1.698401832,2.995544568,0.089026175
35,38,1.719369994,2.920426548,0.089506271
61,38,1.699845425,2.910640317,0.087967707
2,40,1.720067053,2.99938213,0.073266171
95,49,1.790175953,2.959339386,0.085544575
36,39,1.677240818,2.940947442,0.089632462
71,36,1.673322418,2.92863909,0.087018815
48,39,1.68500561,2.902216821,0.088561981
39,42,1.728591298,2.932553543,0.08890782
40,42,1.725553536,2.937156108,0.088684015
60,42,1.728874473,2.939375539,0.087567519
40,40,1.711980464,2.94674033,0.089037859
82,37,1.697307392,2.9951096,0.087173099
1,40,1.789615373,2.958690021,0.061549841
41,46,1.676087296,2.884660381,0.08841147
963,33,1.605325472,2.919958859,0.081652018
19,44,1.711488096,2.999557512,0.088941304
373,44,1.702230615,2.973953973,0.082510177
21,39,1.723681805,2.999660838,0.089428256
18,37,1.730117715,2.995267983,0.089151345
577,36,1.722409245,2.999329039,0.08239699
15,39,1.780972575,2.949732435,0.088228065
59,43,1.650081495,2.998870554,0.088091521
18,38,1.740769406,2.950330685,0.089106254
1,37,1.753907294,2.928490794,0.061428563
60,34,1.734136551,2.950603743,0.087996323
677,40,1.790208236,2.91130726,0.082102137
714,47,1.703481106,2.868333304,0.081437845
17,41,1.66520793,2.975223264,0.088701566
34,38,1.734857714,2.957287032,0.089416947
37,32,1.80264094,2.998825779,0.089462974
45,36,1.816955963,2.995868787,0.088904506
44,35,1.806483889,2.999630335,0.089022457
75,31,1.772480425,2.954718954,0.087041791
100,38,1.810569842,2.999264035,0.086283657
616,33,1.738821896,2.94563383,0.082606171
40,38,1.764075528,2.89462066,0.088885999
67,35,1.799926113,2.972086781,0.087100706
46,36,1.82123959,2.995192809,0.088706616
38,40,1.727686347,2.999595518,0.08930181
15,42,1.731426893,2.935600231,0.087930463
1,40,1.767186162,2.970440726,0.061630226
33,32,1.714576694,2.916055597,0.089394928
85,31,1.706197687,2.897179748,0.087073197
30,33,1.744156827,2.96710616,0.089016121
60,33,1.747418629,2.970476501,0.088052
39,38,1.777805273,2.143737915,0.086516195
69,35,1.682575211,2.99831471,0.087286804
22,32,1.712910019,2.951621049,0.089208651
26,32,2.143602135,2.963500862,0.088304097
36,29,1.741341923,2.914833612,0.089719203
46,28,1.747230854,2.91086596,0.088824772
56,30,1.735120121,2.868054609,0.087933933
31,34,1.801210024,2.920661744,0.088965673
106,34,1.850041566,2.913177147,0.085955018
81,27,1.793237965,2.947748789,0.087062424
36,31,1.838357363,2.852552894,0.089028522
2,30,1.766168655,2.846746515,0.072903921
35,32,1.85877448,2.886189415,0.089044851
515,32,1.867476801,2.884493663,0.083063431
36,37,1.919765825,2.94447637,0.088926539
54,29,1.822289741,2.856219332,0.088080229
33,39,1.885238409,2.890178448,0.089113578
72,39,1.981331528,2.888581682,0.086322367
883,36,1.831800906,2.394550563,0.081687021
54,38,1.855987235,2.911876382,0.088137202
19,35,1.893744955,2.492686418,0.08802985
