collaborative item-item + log/outliers + hyper_param 2 optmization
range: topK: [1, 300], shrink: [0, 400], asymmetric_alpha: [0, 0.5, log=False]
best -> similarity: asymmetric, accuracy: 0.0811507342813857 topk: 17, shrink: 166, asymmetric_alpha: 0.3032655686529396
accuracy,topK,shrink,asymmetric_alpha
0.08094304179639261,15,199,0.2681706846219443
0.0807120010096703,13,194,0.2934664580388825
0.07719296493754269,6,207,0.26996869536922774
0.051491709936231846,1,202,0.280320232807065
0.08020113909039933,16,190,0.2515382829743641
0.08020785996764886,11,180,0.29955674777536884
0.08021288521815848,31,185,0.28503197783249956
0.07996390168541978,20,218,0.22835710333453763
0.08069977611244145,20,174,0.25716843112282384
0.08075067341683018,25,144,0.2667702115743692
0.0800995671234593,15,165,0.23807082109814842
0.07293120511196717,244,198,0.27225499954026394
0.07888528368706255,9,171,0.24488848588294582
0.0806298777292279,36,151,0.25785740906711546
0.08077738117000555,19,181,0.29232299160907244
0.07927933884564027,42,184,0.31400482778993444
0.07981230751335365,28,212,0.29132107128062246
0.07984749735476315,15,204,0.3283073926403589
0.08062073319537706,20,175,0.27843880031649737
0.07957065627235878,9,163,0.30544158706486957
0.08080519351020848,22,190,0.2657887372216692
0.07995157110139033,27,192,0.2868829712129311
0.08066411098425201,23,181,0.27167238758179624
0.07698418557413592,5,197,0.29538714391690024
0.08067784677031858,32,142,0.27932253635342325
0.07361141507250737,15,29,0.2667107494851476
0.08020976135335388,22,156,0.3075583510362694
0.07963976876986695,11,186,0.2508689389221385
0.08085366518785783,17,167,0.2636824992157665
0.080896013337026,18,169,0.26310683240009947
0.07614972806032355,191,170,0.2583859925648199
0.07992955978556862,12,154,0.2652058661219891
0.07361911653426109,4,164,0.24563039150751897
0.08071077460317778,25,136,0.27984706827441236
0.08081462688614093,33,144,0.25521366310621324
0.07766964548545698,134,172,0.25298216079106306
0.0805396204856798,33,158,0.23756891550570755
0.0808384898642166,18,145,0.26807975716348836
0.08111512958498932,20,148,0.26716363820279454
0.08049514653118736,17,131,0.273158783893974
0.08105239532666308,29,144,0.25734764931895093
0.08058898162172759,28,149,0.27899906639501654
0.07899996955229227,9,139,0.2628686786669185
0.0799207955873834,16,123,0.2462112830321958
0.07996839966813372,23,157,0.22528105551040403
0.08077332688873223,17,165,0.27117754753883133
0.07758479998364497,6,147,0.28509835199809147
0.0806440510471006,39,134,0.25955783366192375
0.08094981580331169,31,144,0.2548473101838711
0.08021342611399583,29,153,0.2406802749737143
0.0807395808367976,22,145,0.2737313567428249
0.07959785844549276,12,159,0.25348804781651724
0.08030814767766259,17,131,0.26320326507627556
0.08061800181815984,25,168,0.28654590253102774
0.04946035322612794,1,142,0.24834380678632437
0.08045231320139291,12,178,0.2687660449424655
0.08024679266369412,20,152,0.2353904373327103
0.08014410238273424,30,162,0.29720975837892194
0.08099910818443944,31,141,0.2567588690651731
0.0805235475897399,26,140,0.2590579498271572
0.08052155009972352,35,149,0.2795405617125966
0.07583282713149561,17,129,0.4833159016158237
0.07987332966906101,10,157,0.2694135656141775
0.08060561509532098,24,166,0.25305488083423794
0.08065321139587285,43,119,0.27912039689556956
0.0808903126582911,19,174,0.26199525332833007
0.08089924567801203,19,176,0.26174209979560537
0.08045886229105514,30,176,0.26515861359573506
0.08109821391767999,19,139,0.2734655541187638
0.08055189914785124,16,172,0.25885052024730154
0.08097884707396663,20,146,0.2714138832959361
0.08008975430641457,11,143,0.27129749412759446
0.08017958116898727,21,152,0.2477664180652648
0.08039492894154136,26,137,0.2564324049679621
0.07802465961693274,7,160,0.280892796159696
0.08064745031043796,15,148,0.2641390110609797
0.080733606020519,36,126,0.24455049823651295
0.08099351055210097,19,153,0.28887930814856133
0.08098722653908917,19,153,0.2877153014505827
0.08075904726227508,24,155,0.2890062827803583
0.08106368561058831,14,163,0.29753442025888727
0.08033254230742642,11,162,0.3009287080857048
