collaborative item-item + hyper_param 1 optmization
best={'similarity': 'tversky', 'topK': 23, 'shrink': 37, 'tversky_alpha': 1.592038852030678, 'tversky_beta': 1.8276602073692012}
similarity =  ['cosine', 'dice', 'jaccard', 'asymmetric', 'tversky', 'euclidean'],topK= [1, 10000], shrink=[ 0, 1000], asymmetric_alpha,tversky_alpha,tversky_beta=[0,2,false],normalize= true
similarity,topK,shrink,result,asymmetric_alpha,tversky_alpha,tversky_beta,normalize_avg_row,similarity_from_distance_mode,normalize
tversky,9,71,0.08196088236925556,,1.7148463998226413,1.9475528316292865,,,
tversky,84,73,0.08111815292108943,,1.7396112820726903,1.9464477710167698,,,
tversky,52,118,0.0798543670913922,,1.7476722023673616,1.9458096983661495,,,
tversky,8,72,0.08150663060560685,,1.717232149180603,1.9668989576963505,,,
tversky,10,80,0.08208970923526587,,1.7150066580206023,1.9987503039620467,,,
tversky,2,96,0.0699402806124137,,1.711558720020501,1.9961644448176845,,,
tversky,5,72,0.079696973109512,,1.7516662906665386,1.941829188338462,,,
tversky,2,76,0.07050566129328925,,1.7022635469730223,1.9985626901050368,,,
tversky,1,109,0.05666150124858683,,1.7597921291975074,1.9550583263756478,,,
dice,163,138,0.07393669972941895,,,,,,
tversky,478,60,0.07886135202210061,,1.800744314382103,1.9153846896978026,,,
tversky,578,90,0.07720306810255881,,1.738244919456708,1.865789869015664,,,
tversky,169,54,0.0802313488692769,,1.858409795930938,1.9635699316152473,,,
tversky,463,73,0.0782376494632161,,1.694338777506113,1.8690861124766147,,,
tversky,185,47,0.08048397498051217,,1.7770814063968017,1.932338403093424,,,
tversky,188,39,0.08088104806815716,,1.6913540266778484,1.9988615541543329,,,
tversky,10,65,0.08258125196473448,,1.7152480097605607,1.9954616993233834,,,
tversky,148,99,0.0792856845011105,,1.7333862190151272,1.9791485125681683,,,
asymmetric,3,70,0.030215346195850562,1.5026950870617115,,,,,
jaccard,174,51,0.07834183709903343,,,,,,
tversky,346,85,0.07842898324965626,,1.6910730960257532,1.9997607995999422,,,
tversky,515,348,0.0702599812868861,,1.81306549383373,1.9607749926883178,,,
cosine,144,49,0.07718218276468057,,,,,,
tversky,22,118,0.08106900557850491,,1.7617804281010465,1.9251103200154676,,,
tversky,34,66,0.08219229875507507,,1.7304742320975333,1.9256296178051024,,,
tversky,300,115,0.0772054551274096,,1.7275301092498812,1.9251250760614114,,,
tversky,40,74,0.08163990088106939,,1.6775148124470856,1.9228365583179052,,,
tversky,65,79,0.08093593208029783,,1.7503167652243223,1.9282070744713482,,,
tversky,5,101,0.07825879155737796,,1.7756156360930284,1.9184017657023376,,,
tversky,31,139,0.08030689814694005,,1.840282070780133,1.960431011015071,,,
tversky,12,73,0.08216166506909349,,1.748733239680795,1.861073433433005,,,
tversky,6,83,0.07973398795986487,,1.738986828836674,1.8564489265105262,,,
tversky,377,127,0.07690589887172798,,1.801519883991594,1.911806657667907,,,
tversky,440,70,0.078738970732604,,1.9011834259387332,1.9999546447367424,,,
tversky,4,87,0.07763418570765206,,1.6700403659851453,1.9441605545477203,,,
tversky,246,63,0.07936568897405083,,1.7654170123153885,1.8723508382584806,,,
tversky,266,68,0.0790857756726112,,1.7373328681354634,1.9380759915645056,,,
tversky,6,107,0.07896578142308673,,1.8178323903210454,1.9702148782661584,,,
euclidean,236,83,0.028904065084924043,,,,False,log,False
tversky,406,55,0.07940403805843955,,1.699079583727995,1.88900462421924,,,
tversky,216,44,0.08026326939701652,,1.8629127716704437,1.9125390590656766,,,
tversky,7,99,0.07976097742395523,,1.6454140506096226,1.9989434670617308,,,
tversky,690,63,0.07857453318382837,,1.7722878744729833,1.848589169802747,,,
tversky,440,81,0.07810874183902748,,1.7255417896156817,1.9539558270092403,,,
tversky,183,41,0.0807727188075672,,1.7139499061552692,1.9037855242740782,,,
tversky,193,46,0.0803566160846137,,1.6730519708948335,1.9583019470851613,,,
tversky,205,67,0.07931933537679323,,1.6965296221357764,1.8657725489799843,,,
tversky,9,42,0.08255959939555485,,1.7854023670763584,1.930259190077805,,,
tversky,14,967,0.07010998296080242,,1.7999771511697051,1.9263506408792597,,,
tversky,359,52,0.079915661753576,,1.7556493796869406,1.9615051747297285,,,
tversky,198,91,0.07907971106052476,,1.8313924889278133,1.998103488271716,,,
tversky,498,39,0.07814349450900801,,1.1504223436371863,1.8897057464838294,,,
dice,6,73,0.07784771234554554,,,,,,
tversky,5331,114,0.06861019922827655,,1.882304252253222,1.83881472202774,,,
tversky,4228,38,0.07265426748381788,,1.7658620220465127,1.9248692715032032,,,
tversky,182,55,0.08022329171629296,,1.7138655385990835,1.9609056773812155,,,
tversky,182,33,0.08093655144129588,,1.6467433000945437,1.9035511304113883,,,
tversky,323,67,0.07895684070147085,,1.6394364272375292,1.8948618027717086,,,
tversky,173,763,0.06760162773530586,,1.6668904104150426,1.9336812132241452,,,
tversky,10,33,0.0832744930644587,,1.7847690142605745,1.999826425342223,,,
tversky,144,39,0.08119965488648807,,1.777692916134865,1.8327244434720142,,,
tversky,48,83,0.08030254728498998,,1.7990933780706475,1.8227267974702592,,,
tversky,7,54,0.08056711558275226,,1.8339032267149562,1.8597922426135685,,,
