collaborative item-item + hyper_param 3 optmization
range -> similarity = "tversky", topK = [15, 90], shrink = [20, 50],tversky_alpha = [1.6, 1.95] tversky_beta = [2.8,3.5]
best -> {'topK': 22, 'shrink': 24, 'tversky_alpha': 1.60056884868048, 'tversky_beta': 3.47610354638236, 'result'= 0.0872605756877479
accuracy,topK,shrink,tversky_alpha,tversky_beta
0.08687567081028309,19,27,1.6156160471335652,3.4449559333481607
0.08405732850602532,89,26,1.6009887810477028,3.4493381632543296
0.08698255682448046,19,26,1.6181927055588379,3.4432171702608945
0.08641405139543246,35,22,1.619297101684189,3.428719431922567
0.08533831152767164,56,31,1.618165463675866,3.459078545492531
0.08687622472629312,19,25,1.6172048648357962,3.4437717455255825
0.08669198184510571,19,25,1.665139176716568,3.422478225687105
0.08670192729113782,27,22,1.6422310499720132,3.464717010567385
0.08616602280375628,15,25,1.6156287566145693,3.4171973512508997
0.08479939367873607,70,30,1.6020730798459633,3.4677719371629103
0.08580795842209707,40,23,1.6337969493157343,3.3602885689909114
0.08654040116479621,25,27,1.654021679183634,3.4132009240674477
0.0870843502032624,19,22,1.6148695483290407,3.4716473033496564
0.08674056634165724,18,22,1.6916888475542036,3.4980044554624894
0.0866926792138821,27,23,1.6640226117745611,3.46689728485004
0.0870125725709426,19,25,1.613396167807636,3.448689893772045
0.08614081042350653,15,20,1.6093828356816504,3.4316384206498873
0.08680908316716532,19,21,1.642431202203409,3.4738204862380755
0.08448723687950442,77,26,1.6330411610480189,3.499877425186501
0.0865941241631706,25,24,1.6115921685164842,3.382290089967803
0.08662280249050407,30,27,1.656383799256239,3.4029993483195735
0.08673634198231484,17,30,1.60025261652279,3.4442558563460883
0.08616819948950112,37,29,1.6272488383868915,3.474356872355073
0.08666222028832693,20,24,1.6410996126410764,3.413017700676838
0.08610693929683674,33,32,1.671238154191705,3.342889117320653
0.08701778605695136,21,25,1.6164685142602653,3.446321803693757
0.08701811727753543,22,27,1.6123681566062367,3.4437426718412865
0.08702029668239664,23,23,1.6098653227661663,3.4724652417110082
0.08669020435660342,28,21,1.64046125263885,3.477052046749005
0.08701295639086437,23,23,1.6080535574620725,3.4752428701314817
0.08701748402711235,23,23,1.6279696435441569,3.479758049820213
0.08654259642732459,25,22,1.6297636444727457,3.392094696013676
0.08660654218972684,31,20,1.64843152014275,3.4813878118336095
0.08586745513312584,43,49,1.6255174369669212,3.4128356436278997
0.08722872838459915,22,24,1.6062375778299336,3.4890389727766187
0.08722334522613305,21,23,1.6090253464350806,3.4983657141879902
0.08720600095288039,21,24,1.608339715711673,3.499523641677784
0.08670309042537926,17,21,1.6077902461109517,3.4956082397249038
0.08710841109906858,22,23,1.6072958627286358,3.4623507299761784
0.0870255160317537,27,24,1.6020887397962353,3.498791863867941
0.08702979569617929,27,24,1.600563858616478,3.4957777733217497
0.08665848399549263,29,22,1.622975115928116,3.4626516066672135
0.08678397775539388,17,24,1.6371201878743034,3.4997761872529276
0.08658364770267277,26,21,1.6485852594557293,3.431743539766434
0.08620773456892543,15,26,1.6354172197587211,3.457387378585563
0.0870210293513191,27,24,1.600174921452246,3.4855230092489067
0.08521638066552768,63,25,1.606739283709296,3.499403201470902
0.08711076240350003,21,24,1.6227355225422377,3.484022955939624
0.0870203411501691,21,23,1.6232600134407627,3.4574936140217374
0.08685995760687884,21,28,1.6201984575455368,3.427736521438823
0.08672247467030332,24,22,1.631525501590294,3.48414603647619
0.08662557544029786,17,45,1.6101709149578336,3.460611345323117
0.08644719680344183,24,38,1.6568054540606518,3.479486000185452
0.08686451041752004,21,26,1.619428149238511,3.433194996431832
0.08573463781669155,49,25,1.641348898573003,3.4037228326336733
0.08679020109133752,26,24,1.601640210458137,3.488050451147606
0.08690402131388235,30,23,1.6070851751105415,3.4609227654209582
0.08693439918664018,28,24,1.6001335653361435,3.484083271005781
0.08672526015857268,17,20,1.6145329404971147,3.498927993625811
0.08697046760534892,20,22,1.6242028673974556,3.46320908012261
0.0864404132228162,36,25,1.6127060515629486,3.435299902693697
0.08678963092813795,23,21,1.6342639080539048,3.4506067262657734
0.08670584607830104,26,23,1.6064439645492818,3.4216567695216105
0.08655190541869368,33,27,1.6222510447855212,3.4735028225329994
0.08688656197803034,18,24,1.6000172684938647,3.499762495860603
0.08679247807905818,28,24,1.6159963145586211,3.483089952783437
0.08717311743716666,21,25,1.6051194455144668,3.482396126542995
0.08682588387854819,20,25,1.6292876811541561,3.467197824261543
0.08715504201657825,22,26,1.6103778243264744,3.443041167711147
0.08712669191416199,22,26,1.6136300245247999,3.4516113721123975
0.08690728256438551,24,26,1.608837592853306,3.447826061044929
0.08670575313750974,22,27,1.6452252281485336,3.4375997315012308
0.08651684447817058,16,28,1.6223312371228744,3.414259408168728
0.08692496320735592,19,23,1.636585143566197,3.4533849661933433
0.08672341607190276,22,26,1.616152647250397,3.3872230927224174
0.08690717489130373,20,25,1.6115806808581228,3.470050199721652
0.08690918219864009,18,29,1.6278728292727598,3.486514850061848
0.08666241119867886,25,22,1.6065144520182246,3.4754072033601227
0.08690966843222125,21,27,1.6171435351285313,3.4500445758958085
0.0863415723300659,15,26,1.63097587567046,3.4862024994951026
0.08679434406694346,23,21,1.6109857435742447,3.4251780070602984
0.08686373671715991,18,28,1.6221102578491073,3.467190200327397
0.08651136190259702,25,25,1.652735388169238,3.438803667590326
0.08653854188269683,16,23,1.6056206972046583,3.4570332431410153
0.0854092875166724,58,24,1.6386732304645808,3.4864110406708106
0.0871822177843389,22,22,1.604281840351164,3.498736948433685
0.0869810700479834,20,22,1.600003790136493,3.476794046130586
0.08714769990399414,22,23,1.6144616640782454,3.4990424150286334
0.08698873738653666,23,22,1.615233848829565,3.499462790769165
0.08712233363296641,22,23,1.607279330009696,3.4678931681911385
0.08704510655245648,22,23,1.6279301101686694,3.4662313534193
0.08666739356706352,24,20,1.620144513437529,3.4082105809209606
0.08678770128262729,18,21,1.6077934705811985,3.4553514858462213
0.0866486149966216,21,23,1.7293189176162167,3.4393377879359046
0.08659455546931705,26,25,1.6114154837864902,3.421695272010082
0.08714382362281219,22,23,1.6212768779545481,3.4691288094171417
0.08695415321359509,20,22,1.6246785663294372,3.472664034505475
0.0871513796182988,22,24,1.6179689453314874,3.484601653160807
0.08714408780140201,22,24,1.631680211364122,3.4829528824666993
0.08671581767897342,24,41,1.6341455012703816,3.4821064801359585
0.08680185541734121,22,24,1.6444753516445068,3.459315721186851
0.08668681407622603,29,23,1.6208039654778863,3.4870042017196083
0.08657588168396937,24,24,1.6288150615615618,3.20912884527247
0.08410099642394075,88,25,1.615795919445703,3.4422513498118104
0.08715587969493185,22,23,1.606673940344377,3.4565138974396996
0.08710613365157041,22,23,1.6075840555094525,3.466173871755252
0.08682351980564047,26,24,1.6058527473257382,3.4526827266442024
0.08713696882911244,21,23,1.6201136486802272,3.4990744144798023
0.08495867455598571,67,22,1.6377985128122332,3.499310070898448
0.08687084055235175,20,21,1.6251747754166355,3.4832546419392663
0.08619230866567022,25,35,1.6182448534367146,3.2952689378944826
0.086799220588996,17,24,1.6126852684216941,3.4761458515477033
