trialid,accuracy,similarity,topk,shrink,asymmetric_alpha,normalize,tversky_alpha,tversky_beta,normalize_avg_row,similarity_from_distance_mode
142,0.08013141805933463,asymmetric,84,129,0.3061241702609109,,,,,
143,0.06930417186209888,asymmetric,853,162,0.2659954915837235,,,,,
144,0.0794290392234755,asymmetric,75,91,0.3613151568780321,,,,,
145,0.08127821873725946,asymmetric,39,70,0.3141747744551268,,,,,
146,0.08121487767495306,asymmetric,34,73,0.311173776938791,,,,,
147,0.08000039810073546,asymmetric,44,60,0.41081435474480976,,,,,
148,0.07910070539472722,asymmetric,22,31,0.4589123501211768,,,,,
149,0.080734817921799,asymmetric,97,76,0.3012355769023392,,,,,
150,0.07396977674231216,dice,37,79,,,,,,
151,0.08040568060030785,asymmetric,93,108,0.3023896775845732,,,,,
152,0.0794223612302367,asymmetric,52,129,0.36768226679216887,,,,,
153,0.08077083491830658,asymmetric,104,47,0.2651206520656703,,,,,
154,0.08113733826703376,asymmetric,111,54,0.26612542591586613,,,,,
155,0.08041652601594361,asymmetric,117,44,0.2558833869843957,,,,,
156,0.014177418016284318,euclidean,103,2,,False,,,False,exp
157,0.07571389361593589,cosine,135,66,,,,,,
158,0.07888800184335654,asymmetric,90,29,0.2576909720063234,,,,,
159,0.08049742617304252,asymmetric,62,91,0.34018559429595663,,,,,
160,0.07887095238110743,asymmetric,115,76,0.14959396905700936,,,,,
161,0.07932482258076015,asymmetric,21,53,0.28019961160554874,,,,,
162,0.08086226346677382,asymmetric,34,114,0.3236557315794028,,,,,
163,0.08048591916533256,asymmetric,37,100,0.34914971184245036,,,,,
164,0.0759072345172611,asymmetric,52,23,0.2554896313048142,,,,,
165,0.07792605545998509,asymmetric,8,75,0.3096403350457977,,,,,
166,0.07991359403212761,asymmetric,64,118,0.2055067163743299,,,,,
167,0.07529743693824663,asymmetric,155,147,0.38896629283029904,,,,,
168,0.07995009541856019,asymmetric,88,88,0.3316855118802506,,,,,
169,0.07890854432825127,asymmetric,40,48,0.25650530508651637,,,,,
170,0.07104744091736899,tversky,105,162,,,0.8246368871359745,1.5758439955052168,,
171,0.08082120545995762,asymmetric,24,117,0.29363464371226444,,,,,
172,0.08113187882033308,asymmetric,19,116,0.29105904732035337,,,,,
173,0.07796859547146053,asymmetric,19,113,0.17749394873022628,,,,,
174,0.08059945023019226,asymmetric,42,142,0.2390447923102747,,,,,
175,0.07933284569965829,asymmetric,9,98,0.31498150325384366,,,,,
176,0.08001422940886167,asymmetric,29,62,0.42021216264401434,,,,,
177,0.07303417935663825,asymmetric,57,993,0.3658579807586679,,,,,
178,0.0802787945215966,asymmetric,43,167,0.20675796740864444,,,,,
179,0.06749368336912456,jaccard,5,188,,,,,,
180,0.07043344214162725,asymmetric,72,39,0.1441077180762622,,,,,
181,0.08090642837952933,asymmetric,79,132,0.2948567362024069,,,,,
182,0.0813518244121053,asymmetric,29,138,0.2944709290925243,,,,,
183,0.08093008772410255,asymmetric,24,130,0.29177781982634615,,,,,
184,0.08068639755372561,asymmetric,27,129,0.3431952828557933,,,,,
185,0.08072204911652507,asymmetric,25,103,0.24219711895703197,,,,,
186,0.08088696856299912,asymmetric,51,147,0.28686359893668884,,,,,
187,0.08095126100310264,asymmetric,48,139,0.29480824068397105,,,,,
188,0.07694861980694599,asymmetric,52,139,0.46984467155392107,,,,,
189,0.07071417890921902,dice,19,174,,,,,,
190,0.08024767311547293,asymmetric,58,117,0.1877128774273705,,,,,
191,0.08156538531093563,asymmetric,39,149,0.28823540056495084,,,,,
192,0.07651206943841352,asymmetric,5,151,0.29010518197425855,,,,,
193,0.07902861919760681,asymmetric,43,191,0.3910712165965337,,,,,
194,0.08051915159048478,asymmetric,33,127,0.23123152312590148,,,,,
195,0.07297375028551771,cosine,68,582,,,,,,
196,0.08100294861589584,asymmetric,28,163,0.3001480583427708,,,,,
197,0.08116527819052856,asymmetric,25,174,0.3411052351271836,,,,,
198,0.04779871874653262,euclidean,36,203,,True,,,False,log
199,0.07894561647933948,asymmetric,70,168,0.3542744755724857,,,,,
200,0.08107196017768821,asymmetric,21,157,0.3255654491931602,,,,,
201,0.08106541810973232,asymmetric,17,157,0.3262418314833885,,,,,
202,0.08080369500655986,asymmetric,22,182,0.3341161335500562,,,,,
203,0.0777782051338562,asymmetric,9,164,0.41365669337094824,,,,,
204,0.08004312853534999,asymmetric,39,210,0.33011762934461625,,,,,
205,0.043714329507197315,asymmetric,8,151,0.7726248337616541,,,,,
206,0.08099937279598884,asymmetric,48,187,0.28449932217321244,,,,,
207,0.08106793137864542,asymmetric,56,232,0.2607349388736416,,,,,
